actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,0,8,1,6,14,0,1,1,0,0,8,1,6,1,3,4,1,3,1,1,9,14,0,0,0
above_inside,2,4,0,1,9,0,2,0,1,0,5,1,2,1,2,1,1,0,1,0,5,14,2,3,1
above_left,0,6,0,2,14,2,1,1,0,0,4,2,5,0,3,7,1,1,1,1,5,6,0,1,1
above_outside,0,1,1,3,2,0,1,1,0,0,3,0,2,0,2,2,0,0,0,0,3,3,0,0,0
above_right,4,10,3,4,10,2,2,1,1,2,3,4,1,1,4,2,1,5,0,0,4,14,1,1,0
below_center,1,18,4,12,13,2,1,4,3,5,11,4,8,1,3,5,4,10,3,0,13,21,5,1,1
below_inside,1,11,1,5,8,0,0,1,1,0,4,2,4,0,2,0,1,4,0,0,8,9,2,1,1
below_left,1,9,1,7,8,1,0,4,1,1,7,2,5,0,2,10,4,8,0,0,7,11,2,3,0
below_outside,0,4,1,7,5,0,4,11,1,1,6,2,0,2,3,2,1,8,1,0,5,9,0,5,1
below_right,0,8,6,11,15,0,0,3,1,4,10,3,6,1,4,10,0,3,0,0,6,14,1,0,0
high_center,1,8,6,7,10,2,1,4,2,1,8,3,2,0,1,6,1,2,0,0,10,24,2,4,0
high_inside,0,1,1,4,4,3,1,2,1,1,3,5,6,0,1,1,0,4,0,0,3,10,1,0,0
high_left,2,10,2,8,3,2,1,1,0,0,7,2,7,1,2,3,1,4,1,0,5,16,3,4,0
high_outside,0,3,0,1,8,1,0,0,1,1,6,0,3,1,0,0,0,3,0,0,2,4,1,0,0
high_right,1,12,1,3,10,1,0,2,0,3,7,1,3,0,2,3,0,2,0,0,7,19,4,1,0
low_center,0,10,2,5,11,2,2,10,2,3,8,4,3,0,6,8,0,3,0,0,7,15,2,4,0
low_inside,1,9,1,2,12,0,5,2,0,0,10,4,3,0,2,5,0,1,2,0,5,8,0,1,2
low_left,0,11,1,7,7,1,3,3,0,4,8,1,3,0,9,6,2,12,2,0,7,12,1,1,2
low_outside,1,2,5,2,2,0,2,3,3,1,7,1,2,0,3,3,1,9,0,0,4,10,2,7,0
low_right,1,8,2,8,5,1,0,3,0,2,9,7,4,0,3,5,1,2,0,0,4,14,1,1,0
middle_center,0,9,6,5,9,1,2,5,0,4,10,2,4,0,4,7,1,5,0,0,10,14,1,4,1
middle_inside,1,7,2,5,12,2,1,3,0,4,5,2,3,0,3,0,0,1,0,0,6,4,1,1,1
middle_left,2,6,3,8,8,0,0,7,0,1,5,2,4,1,1,2,4,8,1,0,6,15,2,3,2
middle_outside,1,7,0,8,7,1,2,1,0,0,6,2,4,0,0,2,2,5,1,0,4,11,0,5,1
middle_right,0,12,0,7,8,2,3,3,1,3,7,4,9,0,9,2,0,8,0,2,11,26,1,1,1
