actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,12,0,0,3,2,4,3,3,4,12,4,11,0,6,15,1,1,0,4,0,0,5,0,7,9
above_inside,6,0,0,1,0,2,0,2,3,3,0,0,0,1,3,0,0,0,0,1,0,0,0,0,2
above_left,7,0,0,1,2,1,0,1,6,7,1,8,3,5,0,3,2,1,4,0,0,3,1,4,9
above_outside,5,0,2,4,1,5,2,4,3,8,1,4,0,10,4,0,0,2,3,0,2,0,0,3,11
above_right,7,0,2,1,2,1,2,0,2,5,1,5,0,3,7,0,0,3,2,1,1,1,0,5,14
below_center,3,0,2,8,8,3,1,5,2,8,1,10,1,1,4,2,0,3,0,3,1,2,0,9,8
below_inside,21,2,4,9,10,6,2,8,3,22,3,9,1,1,13,3,2,2,3,4,1,2,1,11,13
below_left,1,1,1,0,0,2,1,4,1,6,3,3,0,2,3,0,0,1,3,0,0,3,0,2,1
below_outside,2,0,0,1,0,2,0,2,3,3,0,1,0,0,1,0,0,1,0,0,0,2,0,1,4
below_right,4,1,3,10,2,6,2,4,3,10,4,7,0,2,5,2,1,1,2,1,0,3,1,10,10
high_center,14,0,4,12,3,5,1,5,6,20,4,10,0,1,5,2,1,2,6,2,2,1,0,6,9
high_inside,7,0,0,5,2,2,0,5,2,4,0,3,1,3,5,1,1,0,1,1,0,1,0,4,8
high_left,14,0,5,9,2,7,2,9,5,17,3,8,0,6,6,2,1,1,2,1,2,2,0,7,12
high_outside,7,0,1,4,1,3,0,9,3,7,3,9,1,0,2,2,2,1,4,0,0,6,0,9,9
high_right,9,0,1,7,0,7,1,5,3,14,2,5,0,2,3,2,0,2,3,2,0,3,3,3,16
low_center,8,0,5,14,3,9,1,9,6,23,2,8,2,5,4,3,3,6,3,2,0,7,0,15,14
low_inside,11,0,4,2,3,3,2,2,4,14,2,7,1,2,9,2,0,6,3,3,1,3,0,9,13
low_left,3,0,2,4,1,9,1,5,10,17,3,7,1,0,5,2,1,2,6,4,1,3,1,5,11
low_outside,2,0,0,7,3,4,1,2,7,9,0,2,0,2,1,3,1,2,3,3,0,3,2,6,5
low_right,9,1,3,7,2,6,3,5,6,18,1,6,1,5,5,8,2,3,1,3,1,3,1,10,16
middle_center,11,1,3,10,4,5,4,7,7,21,4,14,0,6,6,7,1,2,4,1,0,7,2,9,17
middle_inside,7,2,5,0,1,3,0,3,2,17,4,7,1,2,2,3,2,2,3,2,0,3,0,5,10
middle_left,12,1,0,5,3,6,4,10,9,16,5,10,0,4,6,7,2,4,3,2,0,4,2,11,10
middle_outside,5,0,5,3,2,7,1,7,9,13,3,4,1,3,2,3,0,3,4,1,0,4,0,9,9
middle_right,9,1,5,9,0,6,2,9,6,18,0,6,1,5,5,5,2,2,4,1,0,5,2,8,13
