actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,1,0,1,1,0,10,0,1,12,2,0,6,1,1,1,2,1,0,0,2,1,5,5,0,0
above_inside,0,0,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0
above_left,0,1,3,2,1,7,4,0,4,0,0,4,1,0,0,4,0,0,0,1,2,6,3,1,1
above_outside,0,4,2,3,0,5,2,1,6,1,0,6,2,0,1,1,1,0,0,2,1,10,5,0,3
above_right,0,3,0,0,0,5,0,0,6,0,0,1,0,0,0,0,0,0,0,1,0,2,3,0,2
below_center,0,5,6,0,0,25,1,1,11,3,0,11,4,2,2,9,3,1,0,3,2,11,13,4,5
below_inside,1,9,2,4,1,18,6,1,10,6,0,19,5,3,4,12,6,4,0,9,3,31,18,2,7
below_left,1,1,1,0,3,13,0,0,13,2,0,7,1,2,0,6,0,1,1,2,6,8,7,0,3
below_outside,1,0,1,0,0,7,0,0,5,0,0,5,2,1,0,5,1,0,0,0,1,3,7,0,0
below_right,1,5,3,3,0,11,8,3,14,1,0,20,4,4,2,7,1,1,0,7,5,17,6,1,2
high_center,3,1,1,0,0,14,2,1,10,4,0,10,3,2,0,2,1,0,0,2,4,11,10,0,2
high_inside,0,1,0,1,0,3,2,0,4,0,0,0,0,1,0,1,0,0,0,1,1,4,1,0,1
high_left,1,1,2,4,1,13,2,1,11,2,0,6,3,0,0,9,0,1,1,5,0,10,6,0,4
high_outside,2,6,3,5,0,13,1,3,11,1,0,10,6,7,0,4,1,3,0,7,1,9,12,0,4
high_right,2,1,0,0,0,4,0,1,6,0,0,7,2,4,0,2,0,1,0,1,1,4,7,0,1
low_center,1,5,3,2,0,17,2,2,9,3,1,15,1,6,2,15,1,1,1,7,2,13,13,2,5
low_inside,1,5,0,0,0,8,2,1,17,5,2,12,1,0,0,8,0,0,0,5,0,7,14,1,5
low_left,2,2,4,3,1,19,8,2,15,6,0,15,2,3,3,8,0,0,1,2,3,18,14,2,5
low_outside,0,4,2,0,0,9,4,0,13,0,0,9,3,1,0,4,1,0,0,3,0,4,11,0,1
low_right,0,4,1,2,1,15,3,1,16,3,0,12,6,4,3,9,1,1,0,8,5,14,11,1,0
middle_center,0,5,4,3,0,7,2,1,17,1,1,24,3,8,3,8,3,0,0,8,3,11,16,2,8
middle_inside,1,0,1,2,1,6,1,1,9,3,0,5,2,1,0,6,0,1,1,1,0,11,7,0,3
middle_left,2,3,4,7,0,25,1,2,20,4,1,15,5,6,1,16,3,1,0,11,5,21,14,1,4
middle_outside,1,4,7,3,1,15,5,0,24,2,1,18,2,0,4,16,2,1,0,5,4,14,17,1,2
middle_right,0,6,1,3,1,7,1,1,10,1,0,14,1,2,1,4,0,0,0,4,5,13,9,0,3
