actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,6,7,3,10,3,2,9,2,9,1,3,6,2,4,2,1,6,3,0,1,3,0,3,2,0
above_inside,2,5,2,1,2,1,2,0,3,1,0,3,0,2,1,0,2,1,0,1,0,0,0,1,2
above_left,2,5,2,7,3,0,3,3,10,1,6,2,5,8,1,0,2,4,1,1,1,2,1,2,0
above_outside,5,5,9,11,4,0,2,5,15,0,2,1,2,2,0,2,1,3,2,1,0,1,0,3,1
above_right,5,7,2,4,2,1,4,1,6,1,2,3,0,1,0,0,2,0,0,1,0,1,1,2,3
below_center,6,6,7,10,7,1,12,1,16,4,1,3,2,0,3,4,5,3,1,5,0,1,1,3,3
below_inside,2,21,2,12,5,0,14,3,8,1,3,4,0,2,1,3,14,3,1,6,0,10,0,2,1
below_left,1,1,3,7,0,0,6,2,10,2,1,4,2,4,1,1,1,3,0,2,0,3,0,3,2
below_outside,1,2,1,6,0,1,1,3,9,1,0,1,1,3,0,2,1,0,0,0,1,3,1,1,0
below_right,3,10,2,8,3,1,6,2,5,2,2,7,1,2,2,4,6,3,0,2,4,4,3,0,1
high_center,3,8,11,15,4,1,4,4,7,1,7,8,2,7,4,5,15,1,2,3,1,6,3,7,4
high_inside,3,10,2,1,0,1,5,1,2,0,4,4,1,4,2,1,5,1,1,2,4,9,0,2,1
high_left,2,2,4,13,7,1,4,4,12,0,1,4,5,8,1,4,4,5,1,1,2,7,3,7,4
high_outside,5,3,5,11,1,3,2,2,7,0,3,6,3,3,2,2,5,4,0,2,2,2,4,11,3
high_right,5,12,5,7,2,0,6,5,7,0,8,9,4,4,1,0,11,1,1,1,2,5,0,2,3
low_center,7,7,6,13,3,1,8,3,7,3,4,7,6,4,0,3,14,4,3,6,3,7,1,6,3
low_inside,1,8,2,5,3,1,8,1,2,0,1,5,1,4,2,5,14,1,1,6,2,12,0,5,3
low_left,3,7,4,17,1,2,5,4,4,1,4,4,3,11,2,5,8,2,0,7,4,4,5,8,1
low_outside,1,5,3,19,1,1,2,3,9,0,3,4,0,5,2,3,3,4,0,2,3,5,1,2,4
low_right,3,11,6,10,4,1,6,1,3,4,2,9,3,2,1,1,14,2,1,6,3,13,1,3,2
middle_center,3,6,5,11,5,1,12,6,3,0,6,8,3,11,2,3,17,4,2,5,2,11,2,6,10
middle_inside,1,7,0,4,1,2,6,2,2,0,2,6,2,4,2,1,15,0,0,4,2,7,2,1,4
middle_left,2,5,7,13,2,2,6,2,8,1,3,4,4,9,4,6,11,2,1,3,5,2,5,13,11
middle_outside,4,6,4,14,2,2,7,5,9,0,1,2,2,6,1,2,6,6,3,3,2,7,3,3,3
middle_right,3,5,3,7,4,0,10,3,1,2,8,3,4,4,2,3,12,2,0,8,1,3,2,8,4
