actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,0,4,1,3,5,2,1,4,2,0,3,0,5,15,7,34,2,2,4,12,1,9,13,1,3
above_inside,2,3,0,1,1,1,0,1,6,0,1,0,0,2,5,7,0,1,1,1,1,7,6,0,2
above_left,0,1,1,5,3,1,1,7,3,2,2,0,1,11,4,20,2,4,4,8,1,5,10,2,2
above_outside,1,2,0,2,1,1,0,5,1,0,2,1,4,3,1,8,0,3,0,5,0,3,0,1,3
above_right,4,2,3,4,1,1,1,3,2,0,1,0,2,13,7,13,3,1,4,8,1,10,7,1,1
below_center,1,6,4,5,7,1,1,4,4,2,5,2,8,17,11,13,3,2,3,8,3,10,12,1,3
below_inside,0,8,7,5,8,1,3,10,1,3,6,1,3,21,20,52,15,5,7,8,7,32,36,1,7
below_left,0,4,0,3,1,0,1,2,4,0,2,0,0,4,5,6,0,0,1,5,1,6,4,0,2
below_outside,0,1,0,0,0,0,0,0,2,0,2,0,0,5,0,2,0,1,0,1,0,0,0,0,0
below_right,3,10,4,4,6,2,2,8,12,1,6,1,5,16,12,41,6,2,5,12,5,18,15,0,3
high_center,4,2,1,7,2,4,3,7,3,0,3,2,3,9,7,17,5,2,5,9,2,12,11,4,2
high_inside,0,3,1,1,3,2,0,2,4,0,1,0,0,4,4,13,2,2,0,7,1,6,6,1,1
high_left,0,1,1,1,1,1,0,2,5,0,5,0,2,4,6,10,2,0,1,7,1,10,8,1,3
high_outside,1,1,1,0,2,1,1,4,3,0,1,0,1,5,0,5,0,2,3,3,0,2,4,0,1
high_right,2,6,4,6,7,1,2,4,7,2,2,0,2,11,10,15,7,0,4,7,3,6,13,0,1
low_center,1,8,0,3,7,2,2,5,0,2,0,0,5,7,9,18,0,0,4,13,3,10,15,1,3
low_inside,4,1,2,2,8,1,1,3,4,2,2,1,2,16,6,21,1,1,5,13,4,6,13,0,3
low_left,0,2,3,7,4,2,2,5,3,0,2,1,2,3,3,11,0,1,0,3,1,4,4,0,3
low_outside,1,2,0,3,1,0,0,1,0,1,0,1,2,2,0,5,0,0,0,1,2,2,3,0,1
low_right,3,6,2,5,9,3,0,10,11,0,5,1,3,16,13,17,4,1,3,10,4,12,17,2,3
middle_center,4,5,0,4,8,0,1,5,5,4,1,2,4,15,8,14,3,0,10,13,4,9,15,3,7
middle_inside,2,3,2,2,7,1,2,2,4,1,0,1,1,12,7,16,5,2,4,13,1,10,14,3,0
middle_left,1,5,1,3,4,1,2,2,1,0,3,2,5,9,6,13,1,2,2,3,6,9,8,0,1
middle_outside,0,1,0,1,0,1,0,2,0,0,0,1,2,1,1,5,0,0,1,3,1,2,3,0,0
middle_right,0,4,4,3,2,4,1,5,5,3,2,0,4,9,10,24,4,2,7,11,5,10,11,3,4
