actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,3,5,3,8,0,1,0,1,5,0,2,3,0,0,2,2,0,3,0,2,5,2,0,2,3
above_inside,2,2,1,10,0,0,0,0,2,0,0,9,0,0,3,0,0,1,0,0,3,2,1,0,0
above_left,1,2,1,7,0,0,0,0,2,0,3,4,2,0,1,2,0,2,0,1,2,0,0,1,2
above_outside,0,0,3,0,0,0,0,0,1,0,2,2,1,0,1,0,0,0,0,0,4,1,0,2,0
above_right,1,1,2,9,0,1,0,0,1,0,2,10,0,0,1,5,0,1,0,0,3,0,0,2,0
below_center,5,7,7,28,0,0,0,0,5,0,6,31,1,0,8,13,0,5,1,3,12,7,0,17,5
below_inside,3,2,3,9,0,0,0,0,1,0,3,5,1,0,2,3,0,2,0,1,1,6,1,4,1
below_left,6,4,14,24,0,3,1,2,14,0,6,24,2,0,8,10,0,4,2,5,11,7,1,15,2
below_outside,5,3,17,26,0,2,1,0,10,2,2,25,2,0,9,6,0,6,6,4,8,10,0,24,11
below_right,5,2,6,13,0,0,1,0,4,0,9,11,1,0,7,11,0,4,0,1,7,4,0,14,2
high_center,2,6,7,20,0,0,0,1,4,0,5,16,1,0,3,4,0,2,1,6,2,0,1,3,3
high_inside,0,2,3,9,0,0,0,0,0,1,2,9,0,0,4,7,0,3,0,2,1,2,0,7,0
high_left,2,2,6,17,0,0,1,0,4,0,4,12,0,1,4,5,0,1,0,2,0,4,0,8,1
high_outside,2,1,1,9,0,0,0,1,4,0,6,4,1,0,2,2,0,0,0,1,2,1,0,4,0
high_right,0,5,4,16,0,0,0,0,4,1,5,8,0,0,1,13,1,2,1,5,3,3,0,7,1
low_center,3,6,13,38,0,0,1,0,1,0,3,22,0,1,4,12,0,2,0,5,5,9,0,6,4
low_inside,0,3,0,11,0,1,1,0,1,0,2,9,0,0,7,13,0,1,2,6,3,6,0,3,0
low_left,3,2,3,28,0,0,1,2,4,0,4,14,0,0,8,10,0,5,1,4,6,6,0,7,2
low_outside,2,1,4,20,1,0,0,1,4,0,6,10,3,0,6,3,1,3,0,3,3,7,0,11,3
low_right,2,11,2,18,0,1,1,1,0,0,9,17,0,0,7,12,1,4,0,9,7,4,3,12,1
middle_center,9,2,6,20,0,0,0,1,3,0,7,25,1,0,8,12,1,6,2,2,8,10,2,6,6
middle_inside,3,1,5,25,0,1,1,2,3,0,3,10,0,0,5,9,0,3,0,3,4,3,0,6,2
middle_left,0,5,5,24,1,0,0,0,5,0,0,16,1,0,8,9,1,5,3,3,2,10,0,11,1
middle_outside,4,4,5,19,0,0,0,0,3,0,2,10,0,0,3,6,1,2,0,2,3,2,0,3,0
middle_right,3,1,4,17,0,1,0,0,0,0,7,22,0,0,8,15,0,2,1,7,7,6,0,4,0
