actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,0,0,2,2,6,4,0,2,0,0,5,2,2,3,9,13,2,1,4,0,0,3,2,1,0
above_inside,1,0,0,1,0,0,0,1,2,0,0,0,2,0,1,6,0,0,1,0,1,0,5,0,0
above_left,0,0,3,6,4,2,2,5,1,0,5,0,1,4,3,15,0,0,9,0,1,2,3,1,0
above_outside,0,1,1,4,0,4,0,1,0,0,1,0,0,4,1,7,0,2,6,0,1,1,3,0,0
above_right,0,0,2,3,1,1,0,2,6,0,4,2,0,6,0,9,1,1,5,0,1,1,1,0,0
below_center,3,1,12,13,4,8,5,15,12,0,12,2,4,25,25,33,9,5,33,0,2,8,10,2,0
below_inside,4,0,6,8,5,4,0,11,3,0,11,3,5,15,17,23,2,1,4,0,0,2,1,0,0
below_left,2,2,4,11,3,6,1,7,7,0,10,3,3,9,12,31,0,4,20,0,1,4,6,3,1
below_outside,1,0,5,4,1,0,0,7,1,0,2,0,0,4,11,4,1,4,6,1,2,0,3,2,0
below_right,3,1,1,11,3,3,0,12,5,1,18,2,5,20,10,28,3,4,17,1,3,6,1,3,0
high_center,2,0,1,2,3,3,1,7,2,0,5,2,4,16,6,21,1,1,14,0,1,2,1,0,0
high_inside,1,0,0,4,0,1,1,2,0,0,0,3,1,2,7,8,0,1,5,0,3,2,1,1,0
high_left,2,0,4,2,0,4,1,2,2,0,12,1,3,7,6,14,1,0,9,0,1,0,3,3,0
high_outside,0,0,1,1,1,4,0,4,0,0,10,0,0,9,8,4,2,1,7,0,0,2,2,4,0
high_right,1,0,2,4,2,4,4,1,1,0,11,3,0,10,6,18,3,2,4,1,0,1,3,0,0
low_center,1,0,2,16,3,9,0,8,6,1,20,2,2,12,17,28,3,4,20,0,0,3,7,3,0
low_inside,2,1,0,1,0,4,3,4,1,0,7,3,4,8,5,12,0,0,2,0,4,2,3,2,0
low_left,1,2,4,8,2,8,3,9,9,0,13,0,4,3,6,18,2,2,12,0,2,7,8,2,0
low_outside,0,0,2,3,2,2,0,4,6,0,3,2,1,7,6,7,1,1,5,0,0,2,11,5,0
low_right,1,0,3,4,1,3,1,1,3,0,12,1,3,10,12,28,1,1,3,0,2,7,5,5,0
middle_center,0,3,5,8,1,5,2,3,1,0,14,4,5,14,3,20,1,2,7,1,4,3,11,3,0
middle_inside,0,0,1,2,3,1,0,4,5,0,10,1,3,4,4,16,2,0,4,0,1,3,3,2,0
middle_left,1,1,5,6,3,7,0,2,4,0,15,4,3,13,13,18,1,2,9,0,1,2,6,5,0
middle_outside,0,1,3,5,3,4,0,3,1,0,7,2,2,1,9,11,0,1,8,0,1,5,1,2,0
middle_right,1,0,2,1,3,4,2,4,5,0,17,1,3,14,11,20,3,5,11,1,1,6,4,1,0
