actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,3,8,5,7,2,1,8,2,4,1,3,9,4,3,2,1,0,1,2,4,1,1,4,4,1
above_inside,0,8,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
above_left,4,8,1,6,3,1,4,1,5,1,4,9,4,5,3,0,4,1,1,0,3,4,2,6,1
above_outside,4,5,2,3,3,1,5,0,11,1,0,4,0,6,1,1,0,0,3,1,1,4,0,4,1
above_right,4,13,3,3,3,1,2,1,2,0,2,4,0,1,0,0,0,0,0,0,0,1,0,0,0
below_center,8,16,11,13,2,2,11,9,25,3,2,3,3,6,3,9,11,5,2,4,0,5,1,7,1
below_inside,4,30,5,5,7,1,25,9,8,1,0,13,1,7,2,2,11,4,2,2,0,2,2,3,1
below_left,3,14,5,3,0,0,6,2,10,1,1,7,0,0,1,1,5,3,0,0,1,0,0,3,0
below_outside,0,11,0,2,0,1,1,1,7,1,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0
below_right,6,33,3,5,8,3,21,5,21,4,3,10,3,1,2,4,11,2,5,5,2,0,2,2,5
high_center,10,6,11,9,6,3,7,2,10,2,0,7,0,7,6,6,7,0,2,5,1,5,4,4,1
high_inside,1,5,3,0,3,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,2,0
high_left,5,9,7,7,6,1,3,4,8,0,2,8,3,8,4,2,4,3,3,1,1,3,3,4,0
high_outside,1,9,4,9,0,2,0,7,9,1,1,3,3,6,1,3,1,1,1,0,1,3,1,4,1
high_right,2,7,5,9,5,0,2,0,2,1,3,10,1,6,0,1,2,2,2,1,2,2,0,3,1
low_center,7,14,2,14,7,4,8,5,15,3,6,7,4,5,5,7,10,7,2,4,2,4,2,7,3
low_inside,3,15,3,1,3,0,8,1,7,2,1,6,0,1,0,4,1,2,0,4,0,1,0,2,0
low_left,7,8,5,6,5,1,5,2,8,3,1,2,2,4,2,1,5,4,2,1,1,4,3,3,2
low_outside,0,4,3,1,3,3,1,4,11,1,3,0,1,0,0,2,1,1,0,0,0,2,0,2,1
low_right,2,8,7,9,5,2,6,5,11,5,7,6,2,1,2,6,9,6,2,1,1,2,4,2,1
middle_center,13,11,13,9,5,3,8,7,19,4,2,14,10,8,2,3,7,6,4,10,3,9,10,8,5
middle_inside,3,8,1,3,1,0,6,0,2,1,1,4,1,1,1,0,1,2,1,1,1,0,0,2,1
middle_left,12,11,7,6,8,0,3,3,13,4,12,7,6,1,2,2,5,2,4,2,1,5,5,5,0
middle_outside,2,10,3,7,5,2,2,3,9,0,1,2,2,3,1,0,1,1,1,1,0,1,1,5,0
middle_right,7,8,3,6,9,1,6,2,3,3,3,11,6,4,1,2,12,2,2,4,4,5,3,5,3
