actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,0,10,1,2,3,2,12,3,8,0,2,6,0,2,1,0,5,3,3,1,3,4,1,3,3
above_inside,0,1,1,1,0,0,3,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1
above_left,2,11,0,4,2,2,4,3,2,0,2,2,0,1,0,0,3,1,4,0,3,1,4,0,1
above_outside,0,2,0,5,1,3,2,1,4,0,0,4,1,2,0,0,1,3,3,2,0,1,2,2,2
above_right,2,8,0,1,0,0,7,3,4,0,0,1,0,0,0,0,4,1,2,0,1,7,4,0,1
below_center,0,15,3,0,2,9,8,7,14,0,0,0,0,3,0,1,3,8,3,1,0,6,0,0,2
below_inside,1,28,1,2,0,15,75,13,29,3,0,13,0,5,5,0,8,8,20,0,0,26,2,7,3
below_left,0,3,2,0,1,4,1,0,5,1,0,2,0,0,0,0,2,2,3,0,0,1,0,1,0
below_outside,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0
below_right,1,8,1,3,3,14,22,12,20,1,3,6,0,3,3,1,6,9,10,1,1,7,1,2,2
high_center,3,8,3,1,3,1,7,5,9,0,2,10,2,3,2,0,2,4,3,2,0,15,6,3,5
high_inside,0,4,0,0,1,0,2,1,2,0,0,5,1,1,0,0,2,0,1,1,1,4,1,1,1
high_left,1,9,2,1,0,3,7,11,4,0,3,3,2,5,2,0,3,5,2,2,0,4,1,3,2
high_outside,2,7,1,1,0,1,1,3,7,0,1,0,1,1,0,1,1,6,1,0,1,1,1,1,0
high_right,2,5,1,3,1,2,13,5,7,1,2,4,0,3,5,0,6,7,6,8,0,7,1,2,8
low_center,4,12,4,2,3,4,14,10,13,3,1,5,1,6,3,1,6,5,4,3,0,7,3,1,3
low_inside,0,10,2,2,1,2,26,1,15,1,1,15,1,3,2,0,6,4,6,3,1,12,1,2,6
low_left,0,4,0,2,1,5,5,6,4,0,1,3,0,4,0,0,1,1,2,0,1,2,0,0,1
low_outside,0,2,0,3,0,1,1,4,2,0,0,0,0,0,1,0,1,2,3,0,0,1,0,0,1
low_right,2,4,3,3,2,4,16,7,8,1,1,14,2,4,5,0,6,2,12,3,1,11,4,0,6
middle_center,0,8,2,6,1,3,8,10,12,1,1,7,2,8,3,1,4,7,7,1,1,12,5,4,3
middle_inside,2,5,0,1,0,2,19,6,4,0,2,10,2,2,0,0,5,2,4,1,0,7,1,1,2
middle_left,1,9,1,0,3,6,4,7,6,0,0,8,1,4,0,1,4,3,9,1,0,4,4,1,2
middle_outside,0,4,0,0,0,1,2,6,7,0,0,3,1,2,0,0,2,3,1,0,0,2,2,2,2
middle_right,1,14,2,1,2,2,13,6,12,0,4,9,3,5,4,0,6,3,7,2,3,19,4,5,11
