actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,6,4,2,0,18,6,5,3,2,6,0,5,1,1,0,1,4,0,4,3,0,2,4,3,7
above_inside,2,1,4,0,2,1,1,0,0,2,0,2,0,0,0,1,0,0,0,0,0,1,0,1,1
above_left,6,0,9,0,17,5,1,2,1,4,0,8,0,1,1,1,3,0,3,2,0,2,5,1,6
above_outside,10,1,4,1,20,4,5,3,2,3,0,15,1,2,2,0,2,0,2,2,1,0,5,4,7
above_right,2,0,4,0,6,3,1,0,0,2,0,2,1,1,0,1,2,0,2,3,0,0,3,1,0
below_center,5,0,11,0,13,5,1,1,2,2,0,14,1,0,1,1,6,0,0,3,0,2,4,5,5
below_inside,10,6,13,1,27,7,13,5,2,7,0,27,3,1,4,6,18,0,4,10,0,2,4,5,10
below_left,1,0,4,0,10,4,1,1,0,4,0,2,0,1,0,1,4,0,1,1,0,0,0,1,3
below_outside,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
below_right,7,2,9,0,14,9,6,6,0,7,0,13,0,3,1,3,2,0,3,6,1,3,8,5,0
high_center,10,1,11,0,26,11,4,5,4,10,0,16,3,2,1,3,9,0,6,4,2,4,4,7,11
high_inside,1,2,3,1,7,2,2,2,0,2,0,2,2,0,2,1,4,0,1,4,0,2,0,1,2
high_left,9,0,13,0,27,3,3,8,1,3,0,15,1,3,3,2,3,0,2,1,0,1,5,1,7
high_outside,6,2,6,1,9,1,1,6,1,3,0,9,1,1,0,0,3,0,7,2,0,2,6,4,4
high_right,4,0,7,0,12,7,2,2,1,2,0,14,1,0,2,3,8,0,3,4,0,2,6,2,3
low_center,5,3,10,0,13,10,3,2,1,4,0,15,1,2,1,3,14,0,8,7,0,3,5,3,10
low_inside,9,3,13,0,14,10,12,2,1,11,0,11,0,2,3,4,10,1,5,7,0,4,7,2,8
low_left,5,0,11,1,12,4,3,4,0,4,0,9,0,0,0,0,6,0,0,1,1,0,2,3,2
low_outside,3,0,4,0,4,1,0,1,0,0,0,3,1,1,1,0,1,0,0,2,0,2,1,1,1
low_right,5,1,17,0,17,4,6,9,3,7,0,19,2,2,4,5,17,1,7,5,1,5,9,5,4
middle_center,12,1,23,1,32,6,7,4,4,7,0,24,2,1,4,6,14,0,5,6,0,8,9,4,9
middle_inside,8,4,4,1,7,5,2,1,2,7,0,8,1,0,3,3,7,0,3,2,0,1,5,2,3
middle_left,2,1,10,0,17,4,4,3,2,9,0,13,0,0,2,3,9,0,7,0,0,3,5,5,11
middle_outside,4,0,5,1,18,2,0,0,0,0,0,10,1,0,1,0,4,0,1,2,1,1,1,2,5
middle_right,6,2,17,1,24,9,3,4,5,5,0,12,3,1,4,1,11,0,8,3,1,6,9,5,9
