actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,1,2,0,0,0,0,8,2,2,0,0,1,0,0,1,0,1,0,2,0,0,0,0,1,2
above_inside,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1
above_left,4,2,0,0,2,0,4,1,1,1,0,2,0,1,1,0,1,0,5,1,0,1,2,2,0
above_outside,1,1,0,0,2,0,3,2,1,1,0,1,0,3,0,1,3,1,0,0,0,0,0,1,0
above_right,3,5,0,1,0,0,3,0,2,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0
below_center,8,12,6,5,3,1,14,6,9,4,0,6,1,9,1,0,12,4,10,10,2,0,3,5,2
below_inside,7,6,2,2,5,1,22,3,1,8,1,5,1,1,0,0,28,1,4,18,1,10,3,1,8
below_left,3,13,9,4,11,0,10,7,4,6,0,2,0,6,1,0,4,4,8,5,0,1,6,2,3
below_outside,5,3,1,2,5,0,7,2,0,1,1,4,1,2,0,0,2,2,2,2,0,0,3,2,0
below_right,4,13,4,3,7,0,14,4,3,2,0,5,0,1,4,0,16,4,2,15,0,2,4,4,9
high_center,4,7,0,3,3,1,5,2,0,1,0,0,0,2,1,2,8,2,2,2,1,1,1,3,2
high_inside,0,1,0,3,2,1,1,2,1,1,0,0,0,3,1,1,1,1,1,1,0,0,0,1,1
high_left,1,5,2,1,1,0,1,1,1,4,0,3,1,5,0,1,9,4,4,4,1,1,4,2,3
high_outside,4,4,2,4,4,0,3,3,1,2,0,5,1,6,3,0,3,5,6,5,0,2,2,2,1
high_right,2,5,3,1,3,0,5,1,3,2,1,2,0,3,2,0,6,2,3,1,1,3,1,3,2
low_center,4,13,4,2,7,0,9,7,0,2,0,4,3,6,1,0,12,1,10,13,1,6,3,5,3
low_inside,3,11,2,1,0,0,16,1,1,2,0,3,0,2,1,0,18,1,2,21,4,8,1,1,4
low_left,9,11,6,6,8,0,6,8,4,2,1,5,1,12,2,0,6,6,10,4,1,1,4,4,3
low_outside,3,13,3,2,7,1,5,2,10,2,1,4,0,13,0,0,6,6,9,2,0,1,6,4,2
low_right,0,6,1,2,1,0,15,1,0,5,0,4,1,3,0,0,28,2,5,23,3,8,1,2,8
middle_center,5,10,1,1,1,0,11,5,0,3,1,3,2,11,1,0,12,5,4,11,0,2,6,4,6
middle_inside,4,8,5,0,4,0,5,0,0,5,0,3,1,1,0,0,7,2,0,19,1,7,1,5,2
middle_left,5,12,5,4,5,0,7,0,2,1,0,3,3,7,2,0,9,6,5,6,0,4,7,3,3
middle_outside,6,7,4,4,4,1,5,8,2,0,0,6,1,15,4,0,4,3,7,3,1,4,7,8,4
middle_right,6,7,1,2,2,1,11,3,4,5,1,7,2,0,2,0,15,2,4,17,0,10,1,1,5
