actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,3,1,3,5,4,0,9,0,4,1,0,1,3,2,0,3,1,0,3,0,0,4,5,4,2
above_inside,5,8,3,8,7,1,13,3,2,1,1,3,2,0,0,7,10,0,2,1,5,3,5,1,3
above_left,6,1,1,6,4,0,3,1,0,2,2,1,3,0,1,0,0,0,2,1,2,1,1,4,0
above_outside,0,0,3,2,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0
above_right,5,7,2,11,4,2,12,2,6,2,0,2,5,0,3,3,6,0,2,2,0,2,1,5,3
below_center,9,3,4,12,8,1,24,2,4,6,1,4,5,4,2,7,4,2,3,3,3,2,3,5,5
below_inside,0,2,1,3,1,2,14,0,0,2,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0
below_left,6,5,5,16,10,6,24,3,20,6,2,5,9,5,2,6,10,1,10,2,2,4,2,6,2
below_outside,2,2,2,10,5,4,9,5,15,7,2,2,5,4,0,11,4,2,6,2,3,2,2,5,2
below_right,3,1,1,10,4,3,14,1,4,6,2,0,3,1,0,2,6,2,1,0,1,1,1,3,1
high_center,4,2,0,7,13,3,10,0,9,3,4,0,8,4,2,3,4,0,5,1,0,3,2,9,1
high_inside,3,3,2,10,8,0,11,2,4,3,1,2,7,3,4,2,7,1,3,1,1,3,0,4,0
high_left,0,3,1,10,2,1,7,0,1,0,2,1,8,0,1,2,2,2,1,2,0,2,0,2,0
high_outside,1,0,0,4,1,0,4,1,2,1,0,1,0,3,0,0,0,1,0,0,1,1,0,1,1
high_right,1,3,4,7,5,2,11,1,2,2,4,5,13,3,7,2,10,0,7,5,3,1,5,5,2
low_center,1,8,7,13,8,2,11,3,7,4,1,4,12,6,7,5,3,3,8,0,3,5,4,12,4
low_inside,2,2,2,2,3,1,9,0,1,1,1,1,1,4,0,3,3,0,1,1,1,1,0,1,1
low_left,4,4,4,11,3,2,9,3,7,3,5,5,5,4,0,10,6,3,8,2,2,4,5,11,1
low_outside,0,2,6,7,1,1,2,2,7,2,3,1,7,3,0,3,1,2,2,0,1,2,2,4,0
low_right,3,6,7,9,6,3,20,3,2,5,1,2,5,3,3,6,6,0,4,0,1,4,1,1,2
middle_center,4,6,6,17,7,1,18,4,11,3,2,2,12,2,5,13,6,1,9,2,2,3,2,15,4
middle_inside,1,3,3,5,7,1,17,2,1,1,2,3,3,2,1,7,6,0,4,2,1,3,2,9,2
middle_left,5,1,5,13,3,4,10,0,9,10,2,3,12,4,3,5,4,0,3,2,4,2,0,7,2
middle_outside,2,1,2,4,1,1,1,0,4,0,1,0,1,2,1,0,4,0,1,0,0,1,1,3,1
middle_right,2,3,3,9,6,2,18,2,5,1,1,0,8,3,5,7,10,2,5,1,3,3,2,6,2
