actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,3,2,0,2,1,7,1,7,9,3,19,2,5,9,2,14,11,0,5,9,0,4,4,2,1
above_inside,2,0,0,0,0,1,1,1,2,0,4,1,0,0,1,4,0,0,0,4,0,0,4,1,0
above_left,3,2,0,1,1,5,0,6,9,3,8,0,1,4,5,19,6,1,1,10,0,1,5,0,0
above_outside,1,2,1,0,1,3,0,4,0,1,6,0,1,3,2,13,5,0,0,5,0,1,2,1,0
above_right,1,5,0,2,2,4,0,10,3,1,10,3,1,2,2,8,0,0,1,7,0,2,5,1,0
below_center,4,2,0,2,0,1,1,5,4,1,11,3,6,3,1,2,1,1,0,7,0,0,8,2,0
below_inside,4,1,0,1,1,6,0,10,5,7,12,3,2,3,3,17,3,1,2,9,0,7,9,1,1
below_left,0,1,0,0,0,0,0,2,2,2,1,1,1,3,0,6,1,0,2,4,0,0,3,0,0
below_outside,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,4,0,0,0,1,0,0,1,0,0
below_right,2,3,0,2,2,4,0,8,6,6,12,3,7,4,1,15,2,0,0,9,0,3,5,4,2
high_center,4,3,0,2,1,8,1,7,8,6,14,4,4,8,3,20,7,0,2,25,1,12,16,1,1
high_inside,2,2,0,0,1,2,0,6,2,1,5,3,4,2,2,10,3,0,0,4,0,0,5,0,0
high_left,5,2,0,0,3,6,0,8,11,6,12,0,2,4,1,15,5,0,0,15,0,8,6,3,1
high_outside,2,2,0,1,0,3,1,3,6,2,5,1,4,3,0,4,3,1,0,7,0,3,2,0,0
high_right,2,1,0,2,3,4,2,14,6,4,9,2,7,5,1,24,4,0,2,12,0,5,9,0,2
low_center,2,0,1,0,1,1,1,5,6,10,13,1,0,2,2,10,3,2,1,20,0,5,5,3,2
low_inside,0,2,0,0,0,3,1,9,2,4,8,2,1,2,2,9,2,0,0,10,1,2,6,3,0
low_left,0,2,0,1,0,2,1,10,7,0,6,2,2,3,1,11,3,0,0,7,0,0,3,4,1
low_outside,2,0,0,1,0,3,0,2,5,2,0,0,0,1,0,3,0,0,1,4,0,0,1,0,0
low_right,2,3,0,1,0,3,1,3,5,5,16,1,3,3,2,19,5,1,1,7,0,2,2,1,0
middle_center,5,0,0,2,4,1,1,9,9,9,19,2,7,4,0,27,7,0,5,16,0,10,14,1,0
middle_inside,0,2,0,0,0,4,0,5,4,3,5,1,4,4,2,19,2,1,0,12,0,4,5,1,0
middle_left,2,2,0,1,1,1,3,4,7,6,9,0,2,7,0,24,3,0,1,10,0,5,3,0,1
middle_outside,0,4,0,1,0,1,0,5,8,0,2,2,2,3,0,8,2,0,1,7,0,2,2,0,0
middle_right,2,3,0,1,0,4,1,5,10,3,9,1,3,3,2,18,6,0,0,15,1,4,11,4,1
