actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,4,2,2,0,2,3,1,0,0,4,0,6,2,0,1,4,0,1,0,7,7,5,4,4,0
above_inside,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,2,2,0,0,0
above_left,5,1,2,0,3,4,0,0,0,1,1,10,3,0,7,0,1,1,0,10,13,1,2,5,2
above_outside,2,0,2,0,2,1,0,0,0,5,0,3,3,0,1,2,0,1,0,7,6,0,5,3,0
above_right,0,0,3,0,3,0,2,0,0,0,0,1,3,0,1,0,0,0,0,2,2,1,0,2,2
below_center,13,2,7,2,9,11,0,1,0,5,4,16,5,0,6,10,0,3,0,22,11,2,5,6,2
below_inside,9,2,5,0,9,9,0,0,0,1,1,6,8,0,9,2,1,1,0,24,10,3,9,2,4
below_left,6,1,5,0,4,7,0,1,0,1,2,11,1,2,7,2,0,5,0,15,14,4,3,3,4
below_outside,3,0,6,0,6,6,0,0,0,3,0,3,5,0,2,3,1,0,0,9,8,4,1,1,0
below_right,10,3,4,0,6,8,2,0,0,8,0,6,5,2,4,5,0,3,0,21,14,4,6,4,1
high_center,5,0,1,0,5,3,1,0,0,2,2,6,4,1,6,2,0,0,1,11,15,7,4,7,1
high_inside,0,0,0,0,2,5,0,0,0,2,1,1,3,0,1,1,0,1,0,3,4,0,1,1,0
high_left,13,1,2,0,5,2,4,0,0,2,2,6,4,1,6,2,0,4,0,10,14,2,8,2,1
high_outside,3,1,3,0,7,2,0,2,0,3,1,8,2,0,2,5,0,3,0,5,8,1,4,5,3
high_right,5,1,1,0,4,4,0,2,0,3,0,3,4,0,5,1,0,0,0,8,11,0,2,3,1
low_center,13,1,0,2,10,7,0,0,0,7,0,18,9,0,10,6,1,5,0,15,8,5,6,11,3
low_inside,7,1,2,1,6,7,0,0,0,3,0,1,2,0,4,1,0,0,0,13,11,0,3,2,1
low_left,14,0,4,1,11,6,1,2,0,4,1,10,3,2,13,4,0,5,0,16,10,3,7,8,0
low_outside,5,2,5,0,4,2,1,0,0,4,0,7,4,2,6,2,1,2,0,4,8,4,4,5,0
low_right,10,0,1,0,3,3,2,1,0,3,2,4,7,1,9,3,0,1,0,11,18,1,3,3,2
middle_center,8,0,10,1,8,6,3,1,0,6,3,12,10,1,12,4,0,2,0,20,11,2,7,12,1
middle_inside,4,0,0,0,3,3,0,0,0,4,0,1,6,0,3,2,0,2,0,5,10,2,3,0,0
middle_left,7,0,3,0,12,3,2,2,0,6,2,10,11,1,5,3,0,1,0,13,12,1,9,6,1
middle_outside,10,0,0,0,5,5,3,0,1,3,1,7,10,2,8,3,0,1,0,16,8,2,6,6,1
middle_right,9,1,4,0,3,4,0,1,0,3,0,9,7,0,8,5,0,1,0,15,10,2,3,4,1
