actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,3,2,1,3,3,1,22,8,20,3,0,1,0,0,3,1,3,4,3,3,3,2,2,5,0
above_inside,0,1,1,2,3,0,5,3,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1
above_left,2,5,1,1,2,0,6,4,9,2,1,2,0,0,0,0,5,1,5,4,1,3,1,2,1
above_outside,0,5,1,5,2,1,5,3,10,4,0,0,0,1,1,0,2,4,3,2,1,1,1,2,0
above_right,2,4,3,0,3,0,9,3,4,2,0,2,0,0,1,0,1,2,5,2,0,2,1,1,0
below_center,0,3,1,2,3,1,8,12,18,2,0,3,0,1,1,4,1,5,7,3,2,3,2,4,2
below_inside,1,3,0,5,14,2,45,4,17,3,3,2,0,2,4,1,16,3,7,6,7,7,2,1,2
below_left,1,2,0,2,0,0,1,5,6,1,0,0,0,1,0,1,0,2,6,0,0,0,1,1,1
below_outside,0,2,0,0,1,0,1,3,7,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
below_right,1,9,1,3,4,1,15,8,10,8,1,1,0,0,3,3,8,5,6,6,2,3,2,6,3
high_center,3,11,0,4,1,1,13,7,18,1,3,1,0,3,7,2,4,6,13,13,7,7,2,3,11
high_inside,0,4,1,1,3,0,13,7,3,1,1,0,1,0,0,0,5,0,4,0,2,2,1,0,1
high_left,1,9,2,4,0,0,12,4,12,2,2,3,0,0,1,2,6,5,10,12,7,2,5,3,1
high_outside,2,1,0,1,1,0,6,6,5,3,1,1,0,0,2,2,3,4,7,2,3,6,2,3,0
high_right,1,5,3,2,5,0,22,7,7,0,2,3,1,2,2,3,9,6,9,4,5,8,2,1,4
low_center,1,8,9,3,6,4,10,9,19,1,2,2,0,3,0,3,6,11,12,7,3,3,5,3,8
low_inside,4,2,0,4,7,5,19,5,6,5,3,3,0,1,2,5,18,4,7,12,3,11,4,4,5
low_left,2,3,2,3,0,1,7,15,9,2,0,3,1,1,0,2,5,2,9,5,3,4,0,2,1
low_outside,0,4,0,1,1,0,2,3,8,0,1,0,0,0,0,0,1,2,3,0,0,1,0,3,0
low_right,3,6,1,3,3,2,16,6,7,4,2,1,0,2,5,2,13,9,10,18,4,8,3,5,8
middle_center,5,9,5,5,5,1,26,5,18,4,2,3,0,4,4,2,8,19,9,12,12,4,8,7,13
middle_inside,5,4,2,3,4,2,15,4,4,3,3,2,0,3,3,1,12,5,5,5,2,3,3,4,4
middle_left,1,5,1,1,8,1,6,15,8,2,1,1,0,5,1,1,7,10,6,13,9,3,1,3,4
middle_outside,0,1,1,2,1,2,8,5,8,0,0,0,1,1,1,1,4,3,4,8,5,0,3,1,0
middle_right,0,6,1,3,3,1,23,9,12,7,2,0,0,4,2,2,18,6,10,12,19,9,3,2,10
