actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,1,3,4,6,1,1,7,2,2,0,0,2,0,3,1,0,1,0,2,0,2,2,0,1,0
above_inside,2,3,0,2,0,0,3,1,0,1,0,1,0,0,1,0,1,0,0,0,0,2,0,0,0
above_left,7,4,3,9,0,1,2,3,0,0,0,5,0,4,0,2,0,3,4,0,3,4,2,0,0
above_outside,2,6,4,12,2,2,1,8,4,0,1,2,0,9,3,0,0,1,2,0,3,3,4,4,2
above_right,0,5,3,3,2,0,1,0,0,0,0,4,0,0,0,0,1,1,2,0,2,1,0,1,1
below_center,8,6,2,13,2,3,12,8,7,2,0,10,2,9,2,1,3,0,7,0,2,7,2,6,0
below_inside,12,41,7,17,9,9,34,11,9,0,0,21,1,14,11,1,14,7,6,1,6,12,1,4,7
below_left,0,3,3,5,1,6,4,2,4,0,0,2,1,3,1,0,1,2,2,0,2,3,2,2,0
below_outside,2,4,0,3,1,2,1,4,14,0,0,2,0,2,1,0,1,0,0,1,0,2,0,2,1
below_right,7,13,6,13,5,3,8,12,9,3,1,10,0,4,5,2,9,3,4,1,2,10,1,4,1
high_center,8,12,2,7,2,3,1,3,5,1,1,2,2,6,1,1,4,0,1,0,1,3,2,6,0
high_inside,1,4,0,2,0,1,5,1,2,0,0,7,0,2,0,0,0,1,2,0,3,4,0,0,0
high_left,1,3,0,10,2,0,4,7,5,0,0,7,2,4,4,1,0,0,3,1,0,4,1,5,1
high_outside,6,4,3,9,1,3,1,6,3,0,0,3,2,8,2,1,1,3,5,0,2,2,5,9,0
high_right,1,7,2,6,0,1,4,3,1,1,0,0,1,6,1,0,1,0,3,0,1,5,1,1,1
low_center,7,6,4,21,4,5,11,9,10,1,1,17,3,10,5,2,9,2,3,0,3,6,8,7,2
low_inside,3,14,7,13,4,2,8,4,2,0,0,17,0,3,3,1,8,3,0,0,6,16,3,3,2
low_left,3,5,2,9,1,2,7,13,8,1,1,4,3,3,7,0,2,0,0,0,6,7,2,10,3
low_outside,3,1,1,10,1,3,2,10,7,0,0,2,2,3,1,0,2,1,3,0,4,0,0,9,0
low_right,9,12,5,13,2,7,12,8,7,1,1,5,1,6,4,2,5,4,1,0,3,12,5,7,2
middle_center,7,8,7,15,3,0,4,7,3,3,1,9,2,14,2,1,6,4,2,0,6,15,7,10,1
middle_inside,8,9,4,5,1,0,3,2,2,0,0,6,0,5,0,1,6,2,1,0,0,5,0,2,0
middle_left,9,9,6,18,0,2,2,3,7,1,1,5,1,11,7,4,3,3,4,0,7,7,1,10,1
middle_outside,3,2,4,18,2,2,3,10,8,1,0,8,0,5,0,1,1,1,6,0,5,5,3,11,0
middle_right,5,7,4,12,4,4,7,4,7,2,0,10,0,5,5,0,5,3,1,0,2,10,2,6,3
