actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,0,6,4,3,3,0,8,3,5,0,0,0,1,1,0,2,6,0,1,0,0,0,1,2,0
above_inside,2,4,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
above_left,1,5,1,2,1,1,6,1,3,2,0,1,2,1,1,2,1,0,2,2,2,0,1,0,0
above_outside,0,4,4,4,0,0,1,1,0,1,0,3,8,1,0,0,0,0,0,2,0,0,1,1,1
above_right,3,2,5,4,2,0,9,2,1,0,0,4,1,0,0,1,7,0,0,2,2,0,1,1,0
below_center,3,17,7,9,1,1,13,7,10,0,0,2,7,8,1,2,6,0,5,8,8,0,7,4,7
below_inside,0,16,4,5,3,1,41,4,4,1,2,8,6,5,1,5,23,1,1,13,6,2,2,1,3
below_left,0,11,8,4,4,0,10,6,11,1,1,2,7,3,0,0,4,0,2,1,1,0,2,3,3
below_outside,1,4,1,4,2,0,1,2,1,0,1,2,2,5,0,0,1,0,1,1,0,0,0,1,0
below_right,0,13,4,2,2,1,19,3,8,1,0,5,12,3,0,4,13,1,4,10,2,2,6,3,4
high_center,0,8,6,6,2,0,6,4,3,1,0,2,10,3,0,4,9,0,2,3,6,0,2,3,6
high_inside,1,3,2,1,0,0,8,2,0,0,0,2,4,3,0,0,0,0,3,2,1,0,2,1,0
high_left,1,2,4,5,1,0,3,2,4,1,1,1,7,7,1,2,2,0,4,4,6,2,3,3,2
high_outside,0,7,3,5,3,0,4,3,3,0,1,0,3,3,0,3,4,3,2,4,1,0,0,2,0
high_right,1,16,4,4,4,1,17,2,2,1,0,1,6,2,2,2,7,2,1,2,7,0,0,0,0
low_center,0,12,6,6,1,0,14,5,3,3,3,3,9,5,1,6,16,1,2,14,8,0,9,6,8
low_inside,1,9,0,1,0,1,20,2,2,1,0,2,7,4,0,5,15,1,4,11,7,1,0,3,6
low_left,0,10,7,5,4,1,19,11,6,0,1,4,15,8,0,4,9,3,3,9,7,0,8,7,2
low_outside,0,11,4,5,0,1,3,5,2,2,0,4,10,9,2,1,6,1,1,3,3,0,1,7,2
low_right,4,8,2,3,2,0,18,2,1,1,1,2,3,2,1,1,23,0,2,17,10,1,4,5,6
middle_center,2,7,5,4,3,0,16,2,6,1,1,3,18,8,0,11,21,0,1,19,6,0,2,2,5
middle_inside,0,6,4,1,2,0,20,2,1,0,3,1,3,4,1,3,7,0,3,1,2,2,2,3,1
middle_left,1,7,7,4,0,1,8,2,3,1,3,3,12,9,0,4,3,0,4,12,5,0,9,11,3
middle_outside,0,8,7,8,0,0,6,10,7,0,0,0,6,9,0,3,10,0,3,1,1,0,5,5,0
middle_right,4,14,3,6,0,0,24,6,3,0,1,2,9,6,1,7,14,1,0,14,9,1,4,8,3
