actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,6,10,10,6,3,2,12,1,13,4,5,5,1,3,10,1,4,1,3,2,0,5,3,2,5
above_inside,0,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
above_left,3,10,3,3,5,1,11,0,18,1,2,0,2,7,6,1,4,2,3,2,0,5,3,4,2
above_outside,0,7,3,2,1,1,6,1,9,2,3,1,1,4,4,0,5,1,5,3,0,8,0,3,4
above_right,0,1,2,3,2,0,11,1,5,3,0,0,0,4,2,0,5,0,6,4,0,4,2,2,3
below_center,4,9,4,3,6,3,15,4,15,1,3,3,1,4,8,1,18,1,1,10,2,7,3,6,6
below_inside,1,8,6,3,1,0,55,1,9,1,0,4,3,1,1,1,22,0,1,3,1,10,1,2,4
below_left,3,5,4,0,4,0,5,2,10,0,1,0,2,6,5,1,10,1,2,4,2,6,3,2,3
below_outside,3,6,3,1,3,1,2,0,10,0,0,0,0,1,2,0,4,1,3,1,0,3,0,0,1
below_right,1,6,0,2,3,0,21,3,11,2,1,5,1,6,6,0,15,0,5,9,0,6,1,0,5
high_center,3,7,4,5,1,0,7,2,6,1,7,2,1,17,7,2,9,2,3,7,2,7,5,5,4
high_inside,0,1,0,1,2,0,2,0,1,0,0,0,1,1,0,0,4,0,1,1,0,0,2,0,2
high_left,3,8,4,3,1,1,6,0,8,1,3,3,1,12,6,2,8,1,1,4,0,11,4,9,3
high_outside,1,1,5,2,2,0,5,2,10,0,2,1,0,8,5,1,4,0,1,8,0,1,2,5,3
high_right,0,6,1,1,1,1,7,0,2,1,1,0,2,4,6,0,4,0,0,7,0,2,2,3,1
low_center,1,4,1,1,1,2,10,1,3,1,4,3,0,8,4,2,16,2,3,4,3,10,9,3,10
low_inside,2,1,0,1,2,1,5,1,0,0,2,4,1,4,2,0,13,0,2,6,0,5,0,2,1
low_left,3,3,0,0,3,0,8,2,7,1,3,5,0,8,2,0,5,1,6,7,0,10,2,6,2
low_outside,2,5,3,2,3,1,8,1,14,0,2,4,2,5,3,3,5,2,7,1,0,2,2,4,0
low_right,1,6,1,4,0,1,7,0,5,1,0,4,5,0,4,0,9,0,1,10,0,13,3,2,6
middle_center,2,7,3,3,4,0,6,3,7,1,2,2,3,6,6,0,12,1,2,19,2,11,8,2,7
middle_inside,0,1,0,1,0,0,9,0,1,0,0,1,1,0,1,0,12,0,0,4,0,6,3,0,2
middle_left,3,4,3,5,1,0,4,1,11,1,1,3,3,8,7,1,11,1,5,8,0,7,7,8,5
middle_outside,0,0,1,5,2,0,5,3,11,3,3,2,2,14,7,0,7,5,3,5,0,6,1,9,2
middle_right,1,3,0,0,0,0,9,0,2,0,1,0,3,5,6,0,14,0,2,7,1,5,2,0,6
