actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,0,1,4,17,16,3,1,19,6,0,1,3,5,2,1,2,15,0,1,0,3,19,3,3,16
above_inside,0,0,2,1,3,2,0,5,0,0,0,0,3,0,0,1,2,0,1,0,0,1,2,0,1
above_left,0,0,2,19,13,1,2,23,6,0,1,4,5,0,0,3,11,0,4,0,2,12,2,4,13
above_outside,0,0,3,5,4,2,1,16,0,0,0,3,7,0,2,3,9,0,2,0,1,5,3,2,9
above_right,0,0,4,13,8,2,0,8,2,0,0,3,1,3,1,0,5,0,1,1,0,7,2,3,7
below_center,0,0,5,15,12,2,1,9,2,0,0,1,2,1,0,4,4,2,3,1,1,8,3,2,13
below_inside,0,0,11,20,3,3,0,6,6,0,1,3,6,1,3,3,5,0,2,1,4,13,2,2,23
below_left,0,0,1,6,5,0,1,9,1,0,1,0,1,0,0,0,3,0,3,1,0,2,2,0,3
below_outside,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
below_right,0,2,9,7,11,5,0,11,4,0,3,3,7,2,3,3,13,2,2,0,3,11,2,2,14
high_center,0,3,5,17,12,3,2,25,2,0,1,3,2,4,2,1,10,1,9,2,2,14,0,4,27
high_inside,0,0,3,5,6,1,1,4,2,0,0,1,2,1,1,1,1,3,1,1,1,3,1,3,5
high_left,0,0,4,18,10,2,1,17,1,0,0,3,4,4,0,1,5,2,2,0,1,8,4,2,22
high_outside,0,0,0,11,3,2,0,7,2,0,0,2,4,1,0,1,3,0,1,0,0,4,3,0,8
high_right,0,0,6,13,13,3,3,19,0,0,1,2,3,2,3,2,4,1,2,2,2,11,6,2,11
low_center,0,3,6,8,4,3,1,20,3,0,1,4,5,1,0,3,11,0,5,1,1,11,1,0,11
low_inside,0,1,5,7,5,3,0,12,1,0,1,3,4,2,1,0,1,1,1,1,2,13,0,2,6
low_left,0,0,6,11,6,2,1,12,1,0,0,0,2,1,0,1,3,0,2,0,1,1,4,1,4
low_outside,0,0,1,4,2,0,0,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3
low_right,0,0,8,13,5,3,2,15,0,0,1,3,7,0,0,2,6,0,2,1,2,11,1,3,23
middle_center,0,2,5,26,11,3,1,31,5,1,1,4,8,4,2,4,7,4,4,1,0,8,1,4,19
middle_inside,0,1,8,15,6,0,0,12,2,0,1,2,4,0,0,2,6,0,1,1,1,10,1,2,11
middle_left,0,2,0,13,10,0,0,21,4,1,1,5,3,1,0,2,6,1,4,0,3,4,3,2,8
middle_outside,0,0,0,3,1,1,0,5,3,0,1,0,0,0,1,2,3,1,2,0,2,0,0,1,4
middle_right,0,2,8,14,9,2,1,13,6,0,0,2,6,6,1,5,9,4,1,2,2,20,1,2,12
