actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,13,9,3,9,7,0,5,3,7,1,5,4,2,7,3,0,5,1,1,1,0,0,4,7,1
above_inside,6,11,4,11,3,2,9,2,6,2,4,3,3,8,4,0,11,0,4,1,0,4,1,1,4
above_left,3,5,0,6,2,0,3,2,2,4,5,1,1,4,1,0,3,0,2,1,0,2,0,2,3
above_outside,2,2,2,0,2,0,2,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0
above_right,8,12,4,8,2,0,11,3,7,1,6,3,1,9,5,0,8,1,5,2,0,5,2,4,1
below_center,4,6,2,9,1,2,24,2,2,6,4,7,2,3,2,0,20,1,7,2,0,8,1,10,3
below_inside,0,2,0,0,0,1,7,0,1,3,0,0,1,1,0,0,4,0,0,0,0,2,0,1,0
below_left,7,10,5,9,8,2,29,4,13,5,4,8,2,6,2,0,7,0,7,0,0,7,4,5,0
below_outside,5,9,8,12,4,1,25,3,19,4,2,3,6,9,1,1,4,0,18,0,0,7,1,6,1
below_right,0,5,0,2,2,1,17,0,1,3,3,4,2,2,2,0,9,0,1,2,1,4,0,3,1
high_center,9,11,10,9,8,0,8,2,7,0,11,4,2,5,5,0,9,0,2,1,0,5,7,2,4
high_inside,4,8,2,2,2,1,7,3,3,5,2,3,1,2,4,0,9,0,2,2,1,4,3,4,5
high_left,8,3,3,4,7,1,7,1,2,0,8,4,2,3,3,0,7,0,3,2,0,2,2,3,1
high_outside,1,0,3,4,0,0,0,0,1,0,0,0,1,1,0,0,2,1,4,0,0,0,0,2,0
high_right,5,9,8,6,9,0,6,1,4,1,13,5,3,5,4,0,5,0,2,1,0,3,2,2,1
low_center,2,7,2,6,3,1,18,1,3,3,3,3,0,10,3,0,14,2,5,2,1,12,4,9,2
low_inside,1,4,1,2,2,0,11,1,4,1,4,3,0,1,2,0,11,0,0,2,0,5,1,1,2
low_left,1,7,2,4,5,0,6,0,3,2,5,5,1,4,2,0,10,1,5,3,2,3,4,5,2
low_outside,2,4,1,4,0,1,3,0,5,0,0,1,1,4,1,0,1,1,6,0,0,6,0,4,0
low_right,4,4,0,4,3,0,14,3,2,6,1,6,1,3,1,0,7,0,3,3,0,9,3,2,2
middle_center,7,10,4,3,7,3,11,2,7,1,4,8,4,6,3,1,12,1,11,3,0,4,5,3,6
middle_inside,0,2,1,6,3,1,7,0,0,6,1,3,2,4,0,0,17,1,4,1,0,8,1,4,2
middle_left,7,4,3,3,6,0,5,1,6,1,4,1,1,5,2,1,4,1,5,1,0,5,3,7,2
middle_outside,2,3,3,2,2,0,2,0,4,0,0,0,1,2,0,0,1,0,5,0,0,2,1,5,0
middle_right,4,9,1,4,5,0,7,2,8,3,8,6,4,3,5,1,14,2,7,3,1,5,2,3,6
