actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,2,12,1,9,11,0,1,4,0,5,7,0,9,3,0,1,0,3,6,1,0,4,0,4,6
above_inside,2,3,0,3,3,0,0,1,1,0,3,1,0,4,0,2,0,0,2,1,0,3,0,1,2
above_left,1,8,0,10,8,0,0,0,0,1,5,0,7,2,0,2,1,0,6,1,1,5,1,3,12
above_outside,1,5,0,3,3,0,0,1,0,1,4,0,13,1,0,1,1,1,6,0,0,7,0,2,3
above_right,3,12,1,3,5,0,0,4,0,3,8,0,5,2,0,0,2,0,3,0,1,4,0,3,3
below_center,0,7,0,10,12,0,0,1,0,0,8,0,9,0,0,0,1,2,4,0,1,4,0,3,9
below_inside,5,23,0,11,14,1,0,0,0,5,7,1,12,3,0,4,1,0,9,1,1,3,0,6,8
below_left,0,6,1,1,4,0,1,0,0,5,2,0,2,4,0,0,2,0,1,0,0,3,0,2,1
below_outside,0,1,0,0,2,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1
below_right,1,13,0,7,6,1,2,1,1,3,6,0,6,3,0,2,2,3,2,1,0,5,1,3,9
high_center,1,16,1,22,15,1,0,5,0,5,7,0,17,4,0,1,1,0,2,2,2,3,0,5,24
high_inside,2,9,0,1,5,0,0,3,0,0,5,0,1,3,0,0,1,1,2,0,0,2,0,3,7
high_left,2,13,0,12,12,1,0,4,1,5,9,0,17,0,0,1,0,1,11,1,0,3,0,4,15
high_outside,0,3,0,4,3,1,1,0,0,0,4,0,8,3,0,0,1,0,6,0,0,1,0,2,10
high_right,2,12,2,19,16,0,0,4,1,4,11,0,8,5,0,3,4,0,8,0,1,6,1,1,7
low_center,2,16,0,9,9,1,0,5,0,1,13,0,11,3,0,0,2,1,3,1,1,6,1,2,20
low_inside,2,19,0,5,17,0,2,2,0,1,12,0,6,2,0,0,1,0,3,0,0,4,0,2,9
low_left,2,7,0,2,12,0,0,4,0,0,11,0,6,1,0,2,0,2,2,3,0,3,0,2,10
low_outside,0,3,1,3,3,0,0,2,1,1,2,0,2,0,0,0,1,0,4,0,0,2,0,1,3
low_right,1,17,0,4,14,1,0,6,1,4,13,0,6,2,0,1,1,0,7,2,1,5,0,2,11
middle_center,3,13,0,8,24,1,2,4,2,4,20,1,13,2,0,0,0,2,9,2,0,7,1,7,19
middle_inside,3,14,0,11,15,0,0,2,0,4,3,0,6,5,0,1,3,1,5,2,0,1,1,2,7
middle_left,0,18,0,12,8,1,0,5,1,6,13,1,10,3,0,0,0,3,10,1,0,5,0,2,15
middle_outside,1,14,0,6,4,0,1,3,0,2,3,0,6,1,0,2,0,1,8,0,0,1,0,4,13
middle_right,4,22,0,13,22,0,1,2,2,4,9,1,9,5,0,2,2,0,1,2,0,4,0,5,9
