actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,1,0,0,1,1,6,2,0,0,0,2,0,2,5,0,2,1,3,0,0,0,5,0,0,3
above_inside,1,0,0,0,1,1,2,0,0,0,0,0,2,3,0,1,1,1,0,0,0,0,0,1,1
above_left,1,1,0,1,0,2,10,0,0,0,1,1,3,3,0,0,1,2,0,5,0,4,0,0,6
above_outside,1,0,1,2,0,7,5,1,2,0,1,0,2,7,0,1,0,3,0,4,0,10,0,0,8
above_right,0,0,0,0,1,3,1,0,0,0,0,0,2,3,0,1,0,2,0,2,1,4,0,0,0
below_center,5,1,0,1,4,14,8,6,0,0,4,1,7,10,3,4,0,12,1,5,0,14,0,0,8
below_inside,19,1,2,2,13,22,27,11,0,0,11,4,21,39,5,16,2,14,1,7,0,24,1,4,18
below_left,2,1,0,1,0,5,4,0,0,0,3,0,8,3,1,0,0,5,0,2,0,4,0,2,2
below_outside,0,0,0,0,1,2,3,0,0,0,3,0,1,0,0,0,0,2,0,2,0,1,0,1,1
below_right,8,0,1,3,2,11,19,6,1,2,4,1,19,6,6,5,1,10,0,9,0,28,0,3,7
high_center,2,0,0,1,2,17,9,2,0,0,0,0,7,8,1,2,1,5,1,2,0,8,0,1,6
high_inside,3,0,3,0,1,7,3,1,0,0,0,0,2,3,0,2,1,2,0,1,0,7,0,1,5
high_left,1,1,1,1,3,12,6,2,1,0,0,0,8,14,0,2,1,5,0,5,0,9,0,1,9
high_outside,1,0,1,0,2,6,10,4,0,0,3,1,5,4,1,2,0,3,0,0,0,11,0,4,8
high_right,1,0,0,1,1,9,6,1,0,0,0,1,6,5,1,0,1,4,0,0,0,6,0,1,4
low_center,3,0,1,0,5,21,26,5,1,2,4,3,23,17,2,3,2,10,0,8,0,13,0,1,10
low_inside,8,1,1,1,4,11,14,7,1,2,2,0,10,18,3,3,0,9,0,5,0,22,0,2,7
low_left,3,0,2,3,1,8,11,4,1,2,3,0,10,5,1,1,1,12,0,4,1,9,0,0,10
low_outside,1,0,0,0,1,3,5,0,0,0,0,2,3,4,0,0,2,1,0,3,0,4,0,3,3
low_right,2,1,0,1,6,19,18,4,0,0,4,0,14,22,6,3,2,12,0,8,0,26,1,4,7
middle_center,7,0,0,1,1,14,13,2,0,0,7,2,16,11,2,4,3,16,1,3,1,18,1,1,8
middle_inside,6,1,0,1,2,10,7,5,1,1,1,0,2,12,0,8,0,8,0,2,0,6,1,2,7
middle_left,3,1,1,1,5,13,13,5,0,3,3,0,13,12,2,1,2,7,0,5,0,13,0,1,8
middle_outside,2,1,1,3,1,10,9,5,1,0,0,1,8,7,3,3,0,5,0,7,0,12,0,1,2
middle_right,5,2,1,1,6,9,11,5,1,0,1,2,9,17,2,7,0,9,0,8,0,12,0,0,4
