actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,1,12,3,5,1,0,17,1,3,2,1,2,3,1,1,1,6,0,2,4,0,2,4,5,3
above_inside,0,1,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
above_left,1,8,5,4,1,0,7,3,10,4,0,3,1,5,0,0,10,2,3,4,0,2,8,2,4
above_outside,0,7,2,8,2,0,2,5,6,1,0,0,4,2,0,0,0,2,0,2,2,2,1,3,3
above_right,1,11,2,4,1,0,4,2,1,2,0,1,1,0,0,0,2,3,0,0,0,2,4,2,1
below_center,0,10,6,8,3,0,10,3,11,2,0,3,2,4,0,0,6,5,1,6,2,1,5,4,8
below_inside,0,10,1,5,3,0,39,3,5,5,0,3,2,1,1,0,7,3,1,11,2,3,1,1,8
below_left,1,9,3,8,1,0,1,4,4,1,0,3,5,2,0,2,1,1,0,1,0,1,6,1,5
below_outside,0,3,0,3,0,0,3,2,1,0,0,0,0,1,0,0,0,1,2,0,0,0,3,1,2
below_right,2,12,4,9,4,0,13,2,7,4,0,2,4,1,2,2,11,5,0,11,0,2,4,1,9
high_center,3,8,0,8,3,0,5,3,4,3,1,8,5,3,0,1,12,4,1,9,0,5,3,3,3
high_inside,0,1,0,1,1,0,6,5,2,0,1,1,1,1,0,0,2,1,0,2,0,3,2,3,4
high_left,0,10,0,9,3,0,1,4,7,3,1,3,6,4,0,1,6,3,1,3,2,4,6,3,4
high_outside,0,5,1,15,0,0,2,2,7,1,1,2,3,3,0,0,1,3,3,2,2,1,9,4,1
high_right,1,11,1,1,1,0,10,0,6,1,0,0,0,0,0,0,7,0,1,4,2,5,7,0,9
low_center,0,9,4,4,3,1,11,3,3,5,0,5,6,2,0,1,6,5,4,7,3,2,7,0,10
low_inside,0,4,0,2,1,0,22,2,2,2,0,2,1,0,0,0,7,1,0,9,1,5,5,0,8
low_left,1,4,2,2,2,1,6,4,4,0,0,9,1,2,0,2,7,0,4,5,2,3,10,0,3
low_outside,1,4,1,3,1,0,0,3,6,0,0,1,3,2,0,0,7,0,0,5,1,0,6,1,0
low_right,1,6,2,5,3,0,15,3,3,6,1,8,4,3,0,0,14,1,3,16,4,4,6,2,15
middle_center,1,4,1,11,2,0,15,5,10,2,0,3,3,2,0,1,9,2,5,11,7,1,15,1,19
middle_inside,0,7,2,3,0,0,6,1,2,1,0,2,1,2,0,1,4,0,1,3,1,2,1,0,3
middle_left,1,8,4,12,1,1,3,7,8,1,0,8,2,5,0,1,9,7,2,12,4,2,13,3,10
middle_outside,2,6,0,11,1,0,2,6,8,1,0,2,1,5,1,0,4,4,1,7,4,1,6,4,12
middle_right,0,11,0,7,3,0,16,3,2,2,0,3,4,3,1,2,15,4,4,15,2,3,4,1,16
