actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,3,0,0,0,1,2,9,0,1,1,4,2,0,2,1,0,0,1,1,0,3,6,1,0,1
above_inside,1,0,0,0,8,2,4,0,1,8,8,4,0,6,0,1,1,0,4,0,1,5,4,1,2
above_left,0,0,0,0,0,0,1,0,0,1,2,1,0,0,0,1,1,2,1,0,1,2,0,1,0
above_outside,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
above_right,1,0,0,0,0,1,5,0,0,2,7,2,0,5,0,3,1,2,2,0,1,3,3,0,0
below_center,6,1,4,1,6,5,30,2,2,15,33,9,0,9,1,0,8,5,4,2,1,20,16,6,19
below_inside,0,0,0,0,3,1,0,0,0,2,1,0,0,1,2,0,1,0,0,0,0,1,1,1,2
below_left,2,0,2,2,8,9,26,4,0,25,36,12,0,18,2,9,7,8,5,1,3,16,9,4,26
below_outside,2,0,2,1,13,6,43,2,2,32,30,14,0,15,1,6,13,10,2,0,8,15,7,4,26
below_right,0,0,2,1,5,4,8,0,0,11,12,4,0,7,0,1,2,4,3,0,7,3,1,1,9
high_center,3,0,0,2,3,3,10,0,0,9,11,3,0,5,2,1,2,5,4,0,2,1,4,0,6
high_inside,3,0,2,0,2,4,8,0,0,5,10,2,0,2,3,1,5,1,3,0,2,9,2,0,3
high_left,0,0,3,0,2,2,5,1,1,4,5,4,0,1,1,3,0,2,2,1,0,3,2,0,0
high_outside,0,1,0,0,0,0,0,0,0,1,3,0,0,1,0,1,0,0,1,0,0,2,2,0,0
high_right,0,1,1,1,2,1,12,1,0,9,18,10,0,6,1,1,1,3,2,0,2,8,6,1,6
low_center,5,0,3,1,4,10,20,3,0,22,17,5,1,9,5,3,2,3,7,1,7,13,13,3,15
low_inside,0,0,0,0,3,2,9,1,0,2,2,1,0,5,0,2,2,2,0,0,1,4,6,1,9
low_left,1,0,3,1,7,7,27,3,1,18,17,12,0,8,4,3,4,6,6,0,2,13,10,2,13
low_outside,1,0,2,0,3,4,9,1,0,16,6,3,0,1,0,2,4,2,1,1,2,4,5,2,4
low_right,1,1,2,1,3,5,9,2,2,14,8,4,0,9,8,1,4,3,4,3,3,18,10,2,12
middle_center,8,1,2,1,7,5,16,1,1,11,28,11,0,8,4,1,2,4,5,0,5,15,8,0,8
middle_inside,2,0,0,0,3,2,5,0,0,6,5,2,0,5,1,1,4,2,2,0,2,3,4,0,4
middle_left,2,0,1,0,4,2,11,0,0,11,7,1,0,1,2,2,0,7,7,0,0,14,7,2,11
middle_outside,0,0,1,0,2,2,6,0,0,5,2,2,0,3,0,0,1,1,0,0,0,3,0,1,0
middle_right,2,1,2,0,2,5,18,2,2,16,10,7,0,5,4,3,3,5,4,0,5,12,14,2,8
