actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,0,0,3,0,10,2,0,1,10,3,4,4,15,1,8,2,4,5,1,4,1,3,0,5,17
above_inside,0,0,1,0,0,0,0,1,1,0,2,1,1,1,1,0,2,2,0,0,0,1,0,3,7
above_left,0,0,3,0,5,4,1,1,6,2,8,4,6,2,4,0,2,2,0,1,0,4,2,6,14
above_outside,1,1,1,0,1,1,2,0,2,4,1,2,7,0,7,2,3,3,0,1,0,2,0,2,13
above_right,0,0,4,0,4,0,0,2,7,3,3,3,11,6,3,1,2,4,1,5,0,4,0,4,18
below_center,0,0,1,0,7,1,0,2,2,6,1,5,4,1,8,1,1,5,2,1,0,1,0,5,12
below_inside,1,0,6,0,12,4,0,4,3,4,6,8,18,6,7,6,5,10,0,2,1,2,0,4,23
below_left,0,0,0,0,1,1,1,1,1,3,3,2,1,1,1,1,1,3,0,3,1,1,0,0,4
below_outside,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,2,2
below_right,1,0,9,0,8,4,1,1,3,5,3,7,8,2,3,0,2,8,4,4,2,14,0,5,18
high_center,1,0,5,0,11,6,1,5,8,12,4,4,14,1,7,3,5,4,7,2,1,4,0,6,21
high_inside,0,0,2,0,2,0,0,1,0,4,2,0,4,0,7,0,2,4,0,0,1,0,0,3,10
high_left,0,0,5,0,4,2,0,4,13,5,5,1,9,1,7,0,2,9,5,1,3,2,0,5,19
high_outside,1,0,1,0,4,0,0,2,6,1,1,1,5,2,1,0,1,1,1,1,0,2,0,2,9
high_right,2,0,2,0,6,3,0,1,9,1,5,3,6,1,17,2,6,5,2,3,0,1,0,3,18
low_center,0,0,4,0,6,4,2,3,6,6,3,4,8,2,4,0,2,2,1,2,0,4,0,4,15
low_inside,0,0,3,0,3,1,1,3,4,1,8,6,15,1,3,3,4,5,3,2,0,5,0,2,21
low_left,0,0,1,0,4,0,1,0,2,4,3,1,3,1,2,4,1,3,0,2,0,2,0,2,6
low_outside,0,0,0,0,4,1,0,0,2,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,2
low_right,1,0,2,0,12,1,2,2,4,0,2,3,11,3,5,0,5,7,4,2,0,2,0,2,22
middle_center,0,0,3,0,13,2,0,2,7,8,11,4,7,4,9,0,5,8,2,6,1,5,0,4,33
middle_inside,1,0,2,0,2,0,1,1,4,4,3,1,11,2,5,2,7,6,1,1,0,1,0,8,8
middle_left,0,0,4,0,4,2,0,1,6,2,4,2,4,3,6,4,3,6,1,0,0,3,1,3,13
middle_outside,1,0,0,0,4,1,0,3,5,1,1,0,6,0,8,0,0,5,0,0,0,1,1,2,6
middle_right,2,0,6,0,6,4,3,0,9,6,2,5,14,8,6,2,5,10,4,1,1,2,0,4,19
