actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,0,5,0,3,0,1,0,1,7,0,2,0,1,2,3,0,1,2,0,1,1,4,5,1,2
above_inside,0,3,0,1,0,0,0,0,1,0,0,0,1,0,2,0,1,0,0,0,0,0,1,0,2
above_left,0,7,1,7,0,2,0,2,8,0,1,1,0,2,0,3,0,3,1,0,0,3,0,2,1
above_outside,1,3,1,3,1,1,3,2,5,3,1,1,0,1,2,2,0,4,0,0,0,2,2,2,2
above_right,2,3,1,0,0,1,1,0,2,1,0,1,2,1,2,1,0,0,0,0,0,0,2,1,0
below_center,2,11,0,17,3,11,8,5,19,8,3,1,2,9,6,8,1,7,1,4,3,14,13,8,7
below_inside,3,25,0,18,8,4,1,3,18,7,3,3,0,9,36,4,2,5,4,15,2,30,20,6,8
below_left,2,9,3,5,1,5,1,4,10,7,4,2,1,3,6,2,1,0,1,1,3,8,8,4,8
below_outside,0,3,2,2,2,2,0,0,5,4,1,0,0,2,2,1,1,3,1,0,0,7,5,2,3
below_right,3,13,3,22,1,8,5,1,13,6,7,1,2,2,12,6,2,8,2,2,2,15,16,17,7
high_center,1,21,1,4,3,4,1,4,9,2,2,0,0,4,8,5,1,1,7,1,2,9,8,5,3
high_inside,1,3,0,6,0,1,0,0,1,1,0,1,0,1,6,1,2,0,0,1,2,5,2,4,0
high_left,1,9,0,5,2,2,5,4,3,1,6,0,1,0,2,1,0,2,2,3,0,6,4,6,4
high_outside,0,8,0,4,0,1,0,3,1,1,2,0,1,4,1,4,0,4,0,1,1,2,9,4,1
high_right,0,7,1,3,1,2,0,1,5,1,4,0,2,0,4,5,0,0,4,3,4,7,4,7,4
low_center,2,16,4,15,2,5,4,1,2,4,6,0,2,9,11,8,5,6,5,4,4,17,12,13,17
low_inside,1,19,1,8,3,2,2,1,7,2,5,0,5,6,25,4,4,3,0,11,1,20,5,3,1
low_left,4,11,2,11,2,4,5,3,14,0,2,1,0,6,5,10,0,6,2,6,2,15,22,11,6
low_outside,2,5,1,7,3,7,0,0,5,1,4,1,2,2,7,7,3,1,2,6,1,4,13,9,6
low_right,2,19,1,14,3,5,2,1,8,6,5,0,2,7,19,3,1,5,5,7,6,15,8,14,12
middle_center,2,12,3,8,5,4,1,1,7,5,2,1,3,10,11,7,0,1,4,6,5,18,22,7,9
middle_inside,0,6,1,7,3,4,0,1,7,0,2,2,2,4,6,6,1,2,2,4,5,7,10,12,5
middle_left,0,11,2,6,3,3,2,3,6,0,3,2,1,6,4,9,0,4,5,2,3,8,9,12,9
middle_outside,2,8,4,6,1,1,1,0,3,0,1,1,1,5,8,2,0,2,2,2,2,12,6,10,3
middle_right,2,15,3,10,5,4,0,0,2,2,5,2,5,4,9,2,2,4,0,6,6,9,13,11,9
