actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,6,10,2,2,4,3,4,19,0,5,2,1,5,1,3,0,2,4,11,1,6,5,3,1,0
above_inside,1,1,0,1,0,0,3,2,1,2,0,0,0,0,1,2,0,0,2,0,1,1,0,0,0
above_left,5,5,2,3,4,1,2,11,1,4,1,2,6,0,1,1,1,2,10,0,2,3,0,0,0
above_outside,3,1,1,2,1,1,1,9,0,5,1,0,1,0,0,0,0,1,11,0,3,3,0,1,0
above_right,7,7,1,2,3,1,3,15,0,2,0,1,2,0,1,0,3,2,4,0,4,6,2,0,0
below_center,7,5,1,1,8,5,7,25,0,2,1,0,3,1,1,1,0,6,8,1,3,6,6,3,3
below_inside,9,8,4,4,4,6,12,21,0,6,0,1,4,0,4,1,3,9,13,1,12,15,12,0,1
below_left,3,5,2,1,2,2,3,11,0,4,0,0,2,0,2,0,0,0,9,0,1,6,0,1,0
below_outside,1,1,1,0,4,0,0,4,0,0,0,0,2,0,1,0,2,1,2,0,0,0,3,1,0
below_right,7,10,3,0,2,4,3,19,0,7,2,1,6,0,2,1,0,2,15,0,6,4,2,0,2
high_center,11,5,3,3,7,2,7,27,0,12,1,1,4,0,2,2,2,4,8,0,7,7,7,1,1
high_inside,2,3,4,2,2,1,2,17,0,6,0,0,3,0,0,1,0,2,5,0,3,2,3,0,0
high_left,8,12,2,1,2,2,8,16,0,6,1,2,4,0,0,4,2,2,8,2,11,9,6,1,0
high_outside,2,6,1,2,2,1,3,14,0,3,2,1,1,0,1,0,2,1,15,1,4,4,5,1,0
high_right,6,12,2,1,3,0,6,24,0,8,1,3,6,0,1,0,2,2,14,1,5,6,5,0,1
low_center,4,7,2,1,2,1,6,22,0,3,2,1,3,1,0,1,2,4,14,0,4,8,5,1,0
low_inside,7,4,1,0,0,3,5,17,1,5,1,1,5,0,1,1,4,2,6,1,6,2,3,2,0
low_left,12,8,3,3,2,2,3,23,0,9,1,2,5,0,4,4,0,0,14,0,2,4,6,0,2
low_outside,10,5,0,0,3,2,1,19,1,8,1,0,3,0,1,2,1,1,8,0,4,4,4,0,1
low_right,5,6,2,0,2,5,3,18,0,3,3,1,3,0,1,3,1,2,18,0,5,8,6,0,0
middle_center,8,11,5,2,1,5,6,29,0,7,3,2,6,1,2,0,4,4,24,1,3,10,9,1,0
middle_inside,11,4,2,0,1,2,4,18,0,9,0,1,2,0,5,0,0,1,7,2,9,6,3,1,0
middle_left,7,8,2,1,2,1,9,24,0,8,1,0,2,0,2,1,3,2,16,2,6,6,3,1,1
middle_outside,8,7,3,1,2,2,9,28,0,3,1,0,6,0,2,1,4,2,11,0,1,4,2,0,0
middle_right,10,11,2,1,1,3,3,30,0,5,2,0,3,0,2,2,0,2,13,1,8,15,5,0,0
