actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,4,0,24,27,0,3,0,4,11,4,0,0,0,4,6,0,0,0,0,0,0,0,0,0,1
above_inside,3,0,7,8,0,3,0,2,6,2,0,1,0,0,7,0,0,0,0,0,0,1,0,0,0
above_left,3,0,18,17,1,2,0,2,3,4,0,2,0,0,3,1,0,0,0,0,0,0,0,0,0
above_outside,0,0,4,9,0,1,0,1,1,2,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0
above_right,2,0,9,19,0,3,0,2,2,1,1,1,0,4,7,0,0,0,0,0,0,0,0,0,0
below_center,4,0,38,39,0,5,0,4,14,5,2,1,0,6,16,3,0,0,0,0,0,0,0,0,0
below_inside,0,0,11,13,0,4,0,0,2,2,1,1,0,2,6,0,0,0,0,0,0,0,0,0,0
below_left,2,0,19,12,0,2,0,13,18,4,1,1,0,4,6,1,0,0,0,0,0,0,0,1,0
below_outside,0,0,14,14,0,2,0,15,28,1,1,2,0,5,7,0,0,0,0,0,0,1,0,0,0
below_right,6,0,34,26,0,7,0,1,8,9,5,2,0,3,14,2,0,0,0,0,0,1,0,0,0
high_center,2,0,30,33,0,4,0,3,16,6,1,7,0,4,13,5,0,0,0,0,0,0,0,1,1
high_inside,7,0,16,9,1,3,1,2,6,3,0,1,0,1,13,2,0,0,0,0,0,0,0,0,0
high_left,2,0,18,18,2,5,0,7,14,9,2,6,0,2,1,1,0,0,0,0,0,1,0,1,0
high_outside,1,0,13,14,0,1,0,2,3,2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0
high_right,4,0,14,14,1,7,0,5,8,3,1,1,0,2,15,1,0,0,0,0,0,0,0,0,0
low_center,8,0,15,31,1,6,0,7,17,6,0,2,0,2,19,1,0,0,0,0,0,0,0,0,0
low_inside,2,0,18,12,0,1,0,1,1,6,0,1,0,1,11,0,0,0,0,0,0,0,0,0,0
low_left,4,0,15,24,0,4,0,9,23,5,1,1,0,3,13,0,0,0,0,0,0,0,0,1,3
low_outside,2,0,17,27,0,1,0,5,22,1,0,1,0,1,5,1,0,0,0,0,0,0,0,0,0
low_right,1,0,27,19,0,3,0,2,9,7,1,4,0,3,16,1,0,0,0,0,0,0,0,0,0
middle_center,8,0,31,23,1,6,0,4,14,6,0,2,1,3,12,3,0,0,0,0,0,1,0,0,1
middle_inside,4,0,17,16,0,3,0,3,8,7,2,0,0,1,17,0,0,0,0,0,0,0,0,0,0
middle_left,2,0,25,32,0,4,0,3,26,7,2,1,0,6,7,2,0,0,0,0,0,0,0,1,1
middle_outside,1,0,22,18,1,4,0,10,17,0,2,0,0,1,6,1,0,0,0,0,0,0,0,2,0
middle_right,3,0,23,20,0,2,0,4,8,7,1,2,0,3,26,0,0,0,0,0,0,0,0,0,0
