actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,7,7,0,21,1,0,3,1,40,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,1
above_inside,5,3,0,6,1,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
above_left,2,5,0,19,2,0,4,0,34,0,1,0,3,0,0,0,0,3,0,0,0,0,0,11,1
above_outside,2,4,0,19,1,0,0,0,26,0,0,0,6,1,0,0,0,1,0,0,0,0,0,15,0
above_right,5,2,0,12,1,0,3,0,25,0,0,0,1,0,0,0,1,0,0,0,0,0,0,9,1
below_center,1,3,0,7,0,0,6,1,23,0,0,0,1,0,0,0,0,3,0,0,0,1,0,19,0
below_inside,5,7,0,19,1,0,9,0,32,0,0,0,1,1,1,0,3,4,1,0,0,0,0,27,0
below_left,0,2,0,5,1,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
below_outside,1,3,0,4,0,0,1,0,11,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0
below_right,2,2,0,6,0,0,4,0,27,0,0,0,1,1,0,0,0,2,0,0,0,1,0,17,0
high_center,3,4,0,20,2,0,2,0,30,0,0,0,1,1,1,0,0,1,0,0,0,0,0,32,1
high_inside,5,7,0,8,0,0,4,0,12,0,0,0,1,1,0,0,0,0,0,0,0,1,0,9,0
high_left,7,4,0,14,0,0,3,1,35,0,1,1,5,2,0,1,2,5,1,0,0,0,0,34,0
high_outside,0,1,0,11,0,0,1,1,33,0,0,0,3,3,1,0,0,2,1,0,0,0,1,38,1
high_right,5,1,0,23,0,0,5,0,28,0,0,0,0,1,0,0,1,0,0,0,0,0,0,20,1
low_center,3,6,0,23,1,0,4,0,53,0,0,0,1,1,0,0,2,3,0,0,0,1,2,39,1
low_inside,4,5,0,12,1,0,9,0,21,0,0,0,1,0,0,0,0,0,0,0,0,0,1,33,0
low_left,2,3,0,17,1,0,4,1,44,0,0,0,1,2,0,0,0,3,0,0,0,0,0,32,2
low_outside,3,2,0,9,2,0,2,0,22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,0
low_right,4,5,0,17,2,0,4,1,34,0,0,0,1,0,0,0,0,7,0,0,0,0,0,29,1
middle_center,8,5,0,19,1,0,4,0,40,0,0,0,2,2,0,0,4,4,0,0,0,0,1,48,1
middle_inside,6,6,0,13,0,0,2,0,28,0,0,0,0,1,0,0,0,3,0,0,0,1,0,23,0
middle_left,5,3,0,20,1,0,1,0,63,0,0,0,2,3,0,0,1,9,0,0,0,1,1,37,1
middle_outside,2,6,0,15,1,0,3,2,40,0,0,0,1,0,0,0,0,5,2,0,0,0,0,26,0
middle_right,3,2,0,22,2,0,3,0,28,0,0,0,4,2,1,0,1,2,1,1,0,0,2,36,0
