actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,2,2,0,1,22,0,3,0,0,0,2,5,0,0,0,0,0,0,0,0,1,0,0,2,0
above_inside,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
above_left,1,3,0,1,21,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,0,0,1
above_outside,2,1,0,1,26,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,6,1,0,1,2
above_right,2,0,0,0,11,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0
below_center,4,10,1,2,50,0,9,0,0,0,0,15,0,0,1,1,4,1,1,2,6,0,2,4,5
below_inside,6,10,0,1,60,0,24,0,0,0,1,22,0,0,0,0,11,1,0,5,7,3,0,1,21
below_left,3,5,0,2,25,0,2,0,0,0,0,11,0,1,0,0,2,3,0,0,1,0,1,2,1
below_outside,4,0,0,0,14,0,2,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,1,2,2
below_right,3,7,0,4,46,0,15,0,0,0,1,15,0,0,1,0,3,3,0,1,3,4,1,2,6
high_center,4,3,0,2,18,0,6,0,0,0,4,7,0,1,0,0,4,3,0,0,6,3,0,4,8
high_inside,0,1,0,2,17,0,1,0,0,0,0,5,0,0,1,0,1,0,0,0,2,0,0,1,0
high_left,1,1,0,3,24,1,6,0,0,0,0,4,0,0,0,0,2,0,1,0,3,1,1,1,6
high_outside,4,4,0,2,39,1,4,0,0,0,0,5,0,0,2,1,2,5,0,0,2,4,1,4,8
high_right,2,5,0,1,28,1,0,0,0,0,0,6,0,1,0,0,0,0,0,1,3,0,0,2,2
low_center,6,4,0,7,37,0,11,0,0,0,2,14,0,0,1,0,10,1,0,2,7,2,2,11,12
low_inside,6,2,0,1,26,0,9,0,0,0,0,15,0,0,2,1,10,1,0,3,5,2,0,1,12
low_left,3,6,1,7,52,1,6,0,0,0,0,11,0,1,1,0,6,1,0,2,9,2,1,4,9
low_outside,4,2,0,7,34,1,6,0,0,0,0,16,0,0,1,1,0,3,0,0,6,3,0,4,5
low_right,4,3,0,0,33,2,10,0,0,0,2,11,0,2,2,0,8,0,0,0,8,4,1,3,23
middle_center,8,5,0,8,51,0,7,0,0,0,0,7,0,1,2,0,7,0,0,4,14,6,0,6,12
middle_inside,6,2,0,4,25,0,0,0,0,0,1,8,0,0,0,0,5,0,0,1,5,0,0,3,5
middle_left,2,5,0,3,37,1,7,0,0,0,2,13,0,0,3,3,4,6,0,2,5,4,3,5,17
middle_outside,4,4,0,5,56,0,7,0,0,0,2,17,0,1,1,2,5,0,0,0,4,5,3,8,9
middle_right,6,7,0,1,32,0,4,0,0,0,1,12,0,0,0,1,6,0,0,4,5,2,1,3,10
