actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,4,1,0,0,0,0,0,0,3,0,0,1,2,1,1,0,0,1,1,2,0,0,2,0,0
above_inside,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
above_left,7,1,0,0,0,0,1,0,3,0,0,2,3,0,2,0,0,0,0,2,0,0,4,0,0
above_outside,6,1,2,0,0,0,0,0,2,0,1,5,1,6,0,0,0,2,1,2,0,0,3,0,1
above_right,4,1,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,3,0,0
below_center,22,22,5,2,0,2,3,1,13,0,1,13,12,21,8,0,0,3,4,9,0,0,19,4,1
below_inside,52,18,0,2,0,0,10,0,14,3,0,33,7,13,11,0,0,2,7,15,0,0,11,0,0
below_left,9,9,2,0,0,2,2,0,10,0,0,12,6,13,2,0,0,3,6,3,0,0,14,2,0
below_outside,9,4,0,1,0,0,1,0,4,0,0,5,5,2,1,1,0,2,1,2,0,0,4,0,0
below_right,26,22,2,2,0,2,8,0,13,1,1,29,7,22,9,2,0,2,2,20,0,0,13,0,0
high_center,12,2,1,0,0,0,2,0,1,0,2,2,4,3,2,0,0,2,2,2,0,0,2,0,0
high_inside,4,1,0,0,0,0,1,0,2,0,0,1,3,3,1,0,0,0,0,1,0,0,2,0,0
high_left,12,3,1,0,0,1,0,0,1,0,0,8,9,8,2,0,0,1,3,5,0,0,9,1,0
high_outside,12,3,2,0,0,0,0,0,4,0,0,5,5,5,1,0,0,2,3,2,0,0,18,1,0
high_right,9,2,0,0,0,0,0,0,0,0,0,4,5,3,3,1,0,2,2,4,0,0,1,0,0
low_center,26,17,3,0,0,0,5,1,6,1,1,17,8,17,7,0,0,5,7,14,1,0,11,2,2
low_inside,19,5,2,1,0,0,5,2,4,0,1,9,3,15,11,0,0,3,5,7,0,0,6,0,0
low_left,17,12,2,3,0,0,3,0,5,0,0,12,9,20,5,1,0,3,6,3,0,0,13,1,1
low_outside,8,8,1,0,0,1,2,0,7,0,1,14,2,12,0,0,0,2,5,7,0,0,6,0,0
low_right,26,8,0,1,0,0,4,0,2,0,1,25,7,9,7,0,0,4,1,12,0,0,7,1,0
middle_center,36,6,6,0,0,0,2,0,3,0,1,13,6,10,5,0,0,4,3,13,0,0,19,0,0
middle_inside,10,5,0,0,0,1,1,0,3,0,0,6,2,9,5,0,0,1,4,3,0,0,6,1,0
middle_left,20,5,2,1,0,2,2,0,5,0,2,9,7,16,6,0,0,2,2,5,0,0,21,0,0
middle_outside,8,11,1,0,0,1,5,0,7,0,0,15,6,14,3,1,0,2,4,1,0,0,5,2,0
middle_right,21,13,1,0,0,0,2,0,1,0,1,9,6,2,5,0,0,1,2,14,1,0,9,0,0
