actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,4,42,0,0,2,0,0,0,19,0,8,1,0,6,1,0,2,0,1,0,0,6,0,1,2
above_inside,6,20,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,2,1,1,2
above_left,4,27,0,0,3,0,0,0,17,1,10,0,0,4,3,0,1,0,0,0,1,3,0,0,2
above_outside,1,14,0,0,2,0,0,0,20,0,6,1,1,5,4,0,0,0,1,0,0,1,0,5,3
above_right,0,30,0,0,1,0,0,0,11,0,5,0,0,0,1,0,2,0,2,0,0,2,0,4,3
below_center,5,29,1,0,4,0,0,0,25,0,8,2,1,5,1,0,0,0,1,0,0,4,0,2,2
below_inside,2,66,0,0,5,0,1,0,15,1,5,2,1,3,1,0,1,0,1,0,0,13,0,1,0
below_left,0,19,0,0,2,0,0,0,12,0,12,0,0,6,1,0,0,0,1,0,0,2,0,1,0
below_outside,0,14,1,2,0,0,0,0,12,0,8,1,1,0,0,0,0,0,1,0,0,1,0,0,0
below_right,3,39,1,0,2,0,0,0,15,0,5,2,0,7,2,0,0,0,2,0,0,10,0,1,1
high_center,4,57,0,0,2,0,0,0,17,0,18,3,4,12,5,0,5,0,2,0,1,18,1,3,5
high_inside,0,26,0,0,0,0,0,0,10,0,3,0,1,5,0,0,1,0,0,0,0,5,0,1,1
high_left,4,39,0,0,8,0,0,0,17,0,15,3,1,7,1,0,1,0,3,0,1,14,1,2,3
high_outside,4,28,3,0,2,0,0,0,18,0,16,2,4,11,2,0,1,0,4,0,0,8,1,3,4
high_right,0,46,1,0,0,0,0,0,13,0,16,2,0,11,5,0,1,0,3,0,0,14,1,1,1
low_center,4,40,1,0,1,0,0,0,8,0,10,4,0,8,2,0,1,0,1,0,0,13,1,2,3
low_inside,0,40,0,0,0,0,0,0,7,0,4,1,0,0,2,0,0,0,0,0,0,17,0,4,4
low_left,2,30,0,0,1,0,0,0,10,0,7,0,1,12,0,0,1,0,0,0,0,12,0,4,1
low_outside,2,27,1,0,1,0,1,0,12,0,10,2,0,5,2,0,1,0,1,0,0,6,1,1,2
low_right,1,34,0,0,0,0,0,0,9,0,4,3,0,6,0,0,1,0,1,0,1,16,1,2,1
middle_center,2,41,1,0,0,0,0,0,13,0,19,3,3,7,5,0,4,0,1,0,0,18,0,6,5
middle_inside,3,21,0,0,0,0,0,0,5,0,4,2,0,3,1,0,0,0,0,0,0,12,0,4,2
middle_left,3,56,2,0,0,0,0,0,8,0,19,2,3,13,6,0,3,0,2,0,0,18,0,4,5
middle_outside,1,40,0,0,1,0,0,0,10,0,11,0,1,10,5,0,1,0,0,0,2,14,0,1,4
middle_right,2,35,0,0,1,0,0,0,12,0,22,2,2,4,3,0,1,0,0,0,0,23,0,4,2
