actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,1,1,0,5,0,0,11,9,43,0,0,0,3,0,2,3,0,12,11,5,1,1,1,15,1
above_inside,0,1,0,1,1,0,2,5,16,0,0,0,0,0,0,0,1,6,1,0,0,2,0,4,1
above_left,2,0,0,4,0,0,5,8,31,0,0,0,1,0,0,3,0,7,6,0,1,1,2,13,0
above_outside,0,0,0,3,0,0,0,6,24,0,0,0,2,0,0,1,0,5,1,1,0,0,0,7,1
above_right,2,1,0,2,0,0,12,8,29,0,0,0,0,0,0,3,0,17,4,1,0,0,0,15,4
below_center,1,1,0,2,1,0,5,26,50,0,0,0,1,0,1,2,0,15,19,1,0,1,0,27,4
below_inside,2,5,0,2,3,0,58,21,43,0,0,0,11,0,1,4,0,21,14,6,0,7,0,34,3
below_left,0,1,0,2,0,0,1,8,32,0,0,0,1,0,0,0,0,4,10,0,0,0,0,13,1
below_outside,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,2,6,1,0,0,0,1,0
below_right,3,0,0,3,1,0,15,22,62,0,0,0,2,0,0,5,0,10,20,4,0,0,0,35,3
high_center,0,2,0,2,0,0,10,20,36,0,0,0,1,0,0,6,0,9,7,3,1,2,0,27,1
high_inside,0,1,0,1,2,0,8,7,17,0,0,0,4,0,0,1,1,6,7,1,0,2,0,11,0
high_left,0,0,0,3,1,0,2,9,26,0,0,0,0,0,0,0,0,7,8,1,1,0,0,19,0
high_outside,0,0,0,0,0,0,0,6,17,0,0,0,1,0,0,0,0,5,7,1,0,1,1,4,0
high_right,3,0,0,2,2,1,9,12,33,0,0,0,2,0,0,2,0,9,4,6,1,3,1,18,5
low_center,0,1,0,3,1,0,2,9,41,0,0,0,5,0,0,4,0,9,18,4,0,2,0,26,2
low_inside,1,3,0,4,3,0,17,7,23,0,0,0,1,0,0,1,0,11,14,7,0,4,0,15,4
low_left,0,0,0,2,0,0,1,9,24,0,0,0,1,0,0,2,0,6,6,0,0,0,1,13,1
low_outside,0,0,0,0,0,0,1,6,13,0,0,0,1,0,0,0,0,1,3,0,0,0,0,6,1
low_right,4,0,0,3,2,0,12,12,34,0,0,0,5,0,1,4,1,19,20,1,0,4,0,27,3
middle_center,2,1,0,6,1,0,7,16,34,0,0,0,1,0,0,8,0,17,15,7,1,0,0,29,3
middle_inside,2,0,0,0,1,0,12,8,24,0,0,0,1,0,0,2,0,11,7,4,0,2,1,17,2
middle_left,0,3,0,1,0,0,3,9,41,0,0,0,2,0,0,3,0,7,12,3,0,0,0,20,2
middle_outside,0,0,0,5,0,0,1,4,12,0,0,0,1,0,0,0,0,1,2,0,0,0,0,4,0
middle_right,1,1,0,4,2,0,10,8,28,0,0,0,5,0,1,4,1,20,14,3,3,3,1,22,1
