actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,0,13,0,1,0,8,1,0,15,0,0,0,0,0,0,0,0,2,3,2,0,0,1,0,1
above_inside,0,6,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,3
above_left,0,3,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0
above_outside,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1
above_right,0,5,0,1,0,3,1,0,9,0,0,0,0,0,0,0,0,3,3,5,0,0,0,2,1
below_center,0,29,0,1,0,31,13,0,42,2,0,0,0,0,6,0,1,9,15,13,3,0,1,2,4
below_inside,0,15,0,0,0,9,3,1,19,0,0,0,0,0,0,0,1,1,2,3,1,0,1,1,1
below_left,0,27,0,0,0,22,8,1,49,0,0,2,0,0,4,0,0,19,21,8,0,0,1,2,5
below_outside,0,17,0,0,0,15,5,0,43,0,0,0,0,0,0,0,0,24,28,8,0,0,2,5,2
below_right,0,26,0,0,0,17,4,0,21,0,0,0,0,1,1,0,1,4,5,15,1,1,1,3,5
high_center,0,8,0,0,0,18,4,0,11,0,0,1,0,0,2,0,1,10,10,9,0,0,0,0,7
high_inside,0,5,0,0,0,5,6,0,6,0,0,1,0,0,2,0,0,6,7,7,1,0,2,1,6
high_left,0,7,0,0,0,19,2,0,19,0,0,0,0,0,1,1,0,4,10,11,0,0,1,2,2
high_outside,0,7,0,0,0,9,2,0,5,0,0,0,0,0,0,0,1,1,4,2,1,0,1,1,3
high_right,0,8,0,0,0,8,1,0,6,1,0,1,0,0,0,0,0,5,7,11,1,0,0,1,8
low_center,0,10,0,0,0,18,8,0,10,0,0,2,0,0,4,0,4,20,17,13,1,1,2,2,7
low_inside,0,11,0,1,0,7,5,0,12,0,0,0,0,0,4,0,2,3,5,6,0,0,2,3,1
low_left,0,19,0,2,0,12,2,0,11,0,0,2,0,0,4,0,0,16,11,10,0,0,0,1,5
low_outside,0,18,0,0,0,10,2,0,21,0,0,0,0,0,1,0,2,17,26,11,0,0,4,3,6
low_right,0,20,0,1,0,16,7,0,10,0,0,1,0,1,2,0,1,6,7,11,1,0,1,1,4
middle_center,0,16,0,0,0,15,2,0,20,0,0,0,0,0,3,1,2,18,21,11,0,0,2,3,14
middle_inside,0,14,0,1,0,11,5,0,4,0,0,1,0,1,3,0,0,2,6,9,1,0,1,0,4
middle_left,0,22,0,0,0,11,10,0,16,0,0,1,0,0,3,0,2,14,21,10,1,0,5,3,7
middle_outside,0,12,0,1,0,17,6,0,20,0,0,0,0,1,0,0,0,7,7,6,1,0,1,2,3
middle_right,0,10,0,0,0,17,9,0,13,0,0,0,0,0,4,0,2,12,13,9,0,0,1,2,4
