actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,19,3,5,0,0,1,10,1,5,1,5,4,1,0,3,2,2,5,1,3,0,0,6,2,1
above_inside,22,1,7,1,4,1,17,0,3,2,6,14,1,0,2,4,0,7,1,2,0,0,3,0,1
above_left,10,0,3,0,4,0,4,0,4,1,6,4,0,0,0,1,0,4,0,0,1,0,2,0,0
above_outside,4,0,0,0,0,0,3,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
above_right,15,0,4,1,2,1,10,1,5,1,8,4,0,1,1,0,1,1,1,2,0,0,4,0,0
below_center,25,7,11,1,2,0,4,3,12,1,5,7,0,0,1,0,0,8,2,6,1,0,0,2,1
below_inside,13,0,2,0,0,0,8,0,6,1,3,5,0,0,0,0,0,0,4,3,1,0,0,0,1
below_left,15,0,5,0,4,1,7,0,8,0,8,11,1,0,0,1,0,8,4,1,1,0,2,0,0
below_outside,14,0,7,1,5,0,6,2,12,0,9,4,1,0,1,1,0,4,10,5,2,0,4,5,0
below_right,18,0,8,0,3,0,18,2,3,0,8,12,0,0,1,1,1,2,1,1,0,0,1,0,0
high_center,26,3,10,0,6,2,5,0,6,2,7,10,1,0,2,2,1,6,3,3,0,0,8,0,1
high_inside,16,3,6,0,0,1,6,1,1,0,8,10,0,0,2,2,0,5,1,2,0,0,1,2,0
high_left,22,0,7,0,4,0,4,1,2,0,9,5,1,0,1,1,1,6,1,2,0,0,13,0,1
high_outside,9,1,4,1,2,1,7,0,4,0,3,2,1,0,2,1,0,3,2,1,2,0,4,2,0
high_right,25,2,14,0,3,1,4,1,5,1,8,5,1,0,1,2,1,5,0,2,0,0,4,2,0
low_center,39,1,12,1,3,1,8,0,5,2,10,10,3,1,2,4,1,6,5,1,0,0,3,2,4
low_inside,16,0,5,0,2,0,12,0,6,0,3,7,0,0,0,0,4,2,0,2,0,0,0,0,1
low_left,22,3,7,1,1,1,3,3,4,2,8,6,0,0,2,1,0,7,5,3,1,0,8,3,0
low_outside,22,1,7,2,3,0,4,1,8,1,7,8,0,0,1,1,1,3,7,0,0,0,2,2,0
low_right,24,0,3,1,3,1,10,3,4,0,10,9,0,1,2,1,0,3,1,3,1,0,1,2,1
middle_center,38,4,20,2,4,4,11,1,3,0,12,10,0,1,1,4,0,10,2,6,2,0,4,1,1
middle_inside,16,5,10,0,4,0,12,0,4,0,14,8,0,0,3,1,2,7,2,1,0,0,1,1,1
middle_left,24,2,14,1,1,4,3,0,6,0,10,6,2,0,3,0,1,8,8,7,3,0,4,1,1
middle_outside,21,1,10,0,1,0,4,1,5,1,4,1,1,0,3,3,0,5,3,2,1,0,9,0,0
middle_right,31,2,9,0,5,1,9,1,2,1,14,11,2,2,1,2,0,3,5,1,0,0,6,3,1
