actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,1,20,1,2,1,2,7,0,6,1,0,0,0,0,0,0,4,0,4,6,1,1,0,0,0
above_inside,0,6,0,0,1,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
above_left,0,19,1,3,2,0,9,1,4,0,0,0,1,0,0,1,9,0,2,3,2,1,0,0,0
above_outside,0,11,1,0,0,0,3,0,2,0,0,0,1,0,0,1,3,0,3,1,0,2,0,0,0
above_right,0,10,4,2,2,1,3,0,4,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
below_center,0,70,5,1,3,7,49,2,41,2,0,0,3,1,0,3,8,7,7,13,3,4,0,0,0
below_inside,0,15,3,5,1,4,48,1,15,1,0,0,0,0,0,0,13,0,4,6,2,4,0,0,0
below_left,0,62,2,1,5,2,16,0,35,2,0,0,0,0,0,2,6,4,6,5,0,1,0,1,0
below_outside,0,24,3,1,1,2,10,1,27,0,0,0,0,0,0,0,2,0,0,5,0,2,0,0,0
below_right,0,46,7,2,4,6,53,1,31,0,0,0,2,0,0,0,17,1,5,5,1,2,0,0,0
high_center,0,24,2,1,0,3,10,0,17,0,0,0,1,0,0,0,13,3,2,5,2,1,0,0,0
high_inside,0,10,1,1,3,0,3,0,3,0,0,0,0,0,0,0,1,4,4,2,1,1,0,0,0
high_left,0,25,1,0,1,3,7,0,10,0,0,0,1,0,0,1,11,0,1,6,2,5,0,2,0
high_outside,0,26,2,0,0,0,5,0,5,0,0,0,0,0,0,0,8,4,2,7,3,1,0,0,0
high_right,0,25,2,0,1,0,10,1,9,0,0,0,2,1,0,0,14,2,2,6,2,5,1,0,0
low_center,0,36,2,2,2,3,42,0,27,1,1,0,2,3,0,2,10,2,6,7,4,8,0,1,0
low_inside,0,8,0,0,0,1,16,0,4,0,0,0,1,0,0,0,15,1,1,2,1,3,0,0,0
low_left,0,58,4,1,2,1,20,1,29,1,0,0,2,1,0,1,11,9,5,1,0,2,0,0,0
low_outside,0,37,0,1,3,2,11,0,16,0,0,0,0,0,1,1,5,4,4,5,1,2,0,0,0
low_right,0,17,1,3,2,1,25,0,9,1,1,0,1,0,0,0,16,0,0,7,2,5,0,0,0
middle_center,1,36,4,2,2,1,18,0,18,0,1,0,0,0,0,2,15,4,5,16,5,4,0,0,0
middle_inside,0,12,3,0,0,1,17,0,9,2,0,0,0,0,0,1,10,0,1,7,0,1,0,0,0
middle_left,2,55,2,1,4,0,12,0,14,0,1,0,3,1,0,0,12,7,6,6,3,2,1,1,0
middle_outside,0,35,1,1,2,1,11,1,20,1,0,0,0,0,0,0,9,5,2,6,1,2,0,2,0
middle_right,0,16,1,1,0,2,17,1,6,0,0,0,0,0,0,2,25,2,6,12,2,9,0,0,0
