actual/predicted,above_center,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,1,0,0,6,0,1,0,5,0,0,15,0,0,1,0,1,0,0,0,0,0,0,0,1
above_left,2,0,0,2,0,3,0,3,0,0,13,0,0,1,0,1,1,0,0,0,1,1,0,1
above_outside,1,0,0,4,0,2,0,6,0,0,13,1,0,0,0,0,0,0,0,0,0,1,1,1
above_right,3,0,0,2,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0
below_center,25,0,0,31,3,12,6,39,0,0,93,6,0,7,3,2,10,0,9,0,3,9,7,7
below_inside,10,0,0,23,1,6,0,11,0,0,60,1,1,4,3,5,2,0,4,0,5,0,0,3
below_left,13,0,0,13,3,6,2,29,1,0,53,1,2,5,1,2,3,1,2,0,5,3,0,2
below_outside,3,0,0,13,2,3,1,19,0,0,22,0,0,2,3,1,2,0,0,0,1,2,1,2
below_right,13,0,0,24,1,9,2,16,0,0,65,2,0,6,2,5,11,0,8,0,8,2,3,5
high_center,4,0,0,7,3,3,1,6,0,0,28,1,0,4,0,2,0,0,4,0,1,1,1,0
high_inside,0,0,0,1,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0
high_left,4,0,0,11,2,1,0,4,0,0,39,2,0,1,0,1,2,1,0,0,4,2,2,3
high_outside,7,0,0,9,0,0,3,9,0,0,18,1,1,1,0,1,1,0,1,1,1,4,1,3
high_right,2,0,0,9,0,3,1,4,0,0,13,1,0,0,0,0,0,0,0,0,2,0,0,4
low_center,11,0,0,21,5,9,3,28,0,0,60,2,3,4,7,3,7,0,3,0,13,8,5,1
low_inside,1,0,0,3,1,4,0,4,0,0,22,1,0,3,0,2,0,0,0,0,4,1,0,1
low_left,19,0,0,19,9,6,1,22,0,0,67,4,0,9,1,1,2,0,3,2,8,5,3,11
low_outside,12,0,0,11,0,6,4,16,0,0,22,2,1,2,1,3,2,0,2,0,2,4,3,5
low_right,8,0,0,8,4,6,0,13,0,0,40,1,1,3,2,2,6,0,4,0,8,3,0,3
middle_center,12,0,0,19,2,4,3,21,0,0,68,1,1,1,2,6,4,0,4,0,5,3,1,3
middle_inside,0,0,0,4,0,0,0,1,0,0,17,0,0,1,0,1,0,0,0,0,2,2,0,1
middle_left,17,0,0,22,7,4,4,24,2,0,58,6,2,2,3,6,4,0,2,1,9,9,5,6
middle_outside,7,0,0,13,3,1,2,20,1,0,37,3,0,4,2,1,4,0,1,0,2,6,3,1
middle_right,10,0,0,12,2,1,0,5,0,0,34,1,0,4,1,3,2,0,2,0,4,0,1,3
