actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,0,0,0,0,0,4,5,7,0,8,1,16,0,0,0,6,0,2,2,5,0,0,0,0,0
above_inside,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
above_left,0,0,0,0,1,5,9,4,0,2,6,10,0,0,0,3,0,1,2,13,0,0,0,0,0
above_outside,0,0,0,0,0,6,6,6,1,4,1,3,0,0,0,5,0,1,0,11,0,0,0,0,0
above_right,0,0,0,0,0,2,0,0,0,6,0,3,0,0,0,2,0,2,0,3,0,0,0,0,0
below_center,0,0,0,0,0,22,39,14,8,28,4,4,0,0,0,5,0,10,5,15,0,0,0,0,0
below_inside,0,0,0,0,0,18,64,16,4,34,12,12,0,0,0,13,0,8,1,13,0,0,0,0,0
below_left,0,0,0,0,0,13,23,11,2,15,3,7,0,0,0,1,0,3,0,5,0,0,0,0,0
below_outside,0,0,0,0,0,10,11,3,0,5,1,2,0,0,0,1,0,3,0,2,0,0,0,0,0
below_right,0,0,0,0,1,18,51,13,4,22,8,11,0,0,0,10,0,14,1,12,0,0,0,0,2
high_center,0,0,0,0,0,9,14,11,2,15,10,15,0,0,0,9,0,6,3,26,0,0,0,0,1
high_inside,0,0,0,0,1,2,6,0,0,3,3,2,0,0,0,0,0,0,1,5,0,0,0,0,0
high_left,0,0,0,0,0,8,7,9,0,15,4,10,0,0,0,11,0,8,1,21,0,0,0,0,0
high_outside,0,0,0,0,0,7,7,5,2,6,0,4,0,0,0,8,0,2,0,4,0,0,0,0,1
high_right,0,0,0,0,0,2,4,5,0,10,1,7,0,0,0,6,0,0,0,12,0,0,0,0,0
low_center,0,0,0,0,1,17,24,13,0,17,2,13,0,0,0,12,0,18,2,18,0,0,0,0,1
low_inside,0,0,0,0,0,2,15,5,1,14,3,16,0,0,0,3,0,5,0,8,0,0,0,0,0
low_left,0,0,0,0,0,13,14,7,1,10,1,7,0,0,0,7,0,8,1,9,1,0,0,0,0
low_outside,0,0,0,0,0,5,11,2,2,4,2,4,0,0,0,3,0,2,1,0,0,0,0,0,1
low_right,0,0,0,0,0,17,15,12,1,14,1,14,0,0,0,14,0,8,1,15,0,0,0,0,0
middle_center,0,0,0,0,0,12,26,18,2,18,10,15,0,0,0,11,0,13,0,36,0,0,0,0,1
middle_inside,0,0,0,0,1,2,10,5,0,8,3,8,0,0,0,2,0,6,0,2,0,0,0,0,0
middle_left,0,0,0,0,2,9,7,11,2,11,5,15,0,0,0,9,0,11,3,16,0,0,0,0,1
middle_outside,0,0,0,0,1,11,7,5,4,9,4,2,0,0,0,3,0,5,1,3,0,0,0,0,0
middle_right,0,0,0,0,0,8,15,11,0,15,6,26,0,0,0,10,0,8,2,18,0,0,0,0,1
