actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,0,1,0,0,0,3,7,7,20,2,0,0,0,0,0,2,1,11,12,6,1,0,0,4,2
above_inside,0,1,0,0,0,0,2,1,5,0,0,0,0,0,0,0,1,3,1,1,0,0,0,0,0
above_left,0,0,0,0,0,4,2,0,11,0,0,0,0,0,0,7,0,3,4,5,0,0,0,3,1
above_outside,0,1,0,0,0,0,0,5,5,0,1,0,0,0,1,2,0,2,3,1,1,0,0,3,0
above_right,0,1,0,0,0,2,4,6,21,1,0,0,1,0,0,2,0,5,5,0,0,0,0,0,3
below_center,0,1,0,0,0,14,6,14,25,3,0,0,0,0,0,7,0,8,11,3,0,0,0,0,2
below_inside,0,3,0,0,0,8,94,10,65,3,1,1,1,0,2,6,0,6,21,14,1,0,0,1,3
below_left,0,0,0,0,0,0,1,1,10,2,0,0,0,0,0,1,0,8,4,1,0,0,0,0,0
below_outside,0,0,0,0,0,4,0,1,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
below_right,0,1,0,0,0,11,23,18,50,5,0,0,0,0,0,10,0,10,7,10,0,0,0,0,6
high_center,0,1,0,0,0,1,6,4,29,2,1,2,0,0,0,7,0,11,5,6,4,0,0,2,8
high_inside,0,0,0,0,0,0,4,2,10,0,0,0,0,0,0,5,0,6,1,1,1,0,0,0,4
high_left,0,2,0,0,0,2,4,5,13,1,0,0,0,0,1,8,0,7,6,7,2,1,0,0,3
high_outside,0,2,0,0,0,1,2,2,19,1,1,0,0,0,0,3,0,3,5,1,1,0,0,1,0
high_right,0,0,0,0,0,1,11,9,35,0,1,0,0,0,0,7,0,13,3,19,0,1,0,1,6
low_center,0,2,0,0,0,7,10,10,41,4,1,0,0,0,1,4,0,8,11,11,3,0,0,1,3
low_inside,0,0,0,0,0,1,21,2,27,1,1,1,1,0,2,2,0,10,5,17,3,0,0,2,7
low_left,0,0,0,0,0,4,1,10,21,1,0,0,0,0,0,2,0,11,9,3,0,0,0,0,2
low_outside,0,0,0,0,0,0,2,4,11,0,0,0,0,0,0,1,0,4,3,0,0,1,0,1,1
low_right,0,2,0,0,0,4,21,7,39,0,3,2,0,0,1,10,0,9,6,16,2,0,0,2,4
middle_center,0,2,0,0,0,3,10,8,37,1,0,0,0,1,1,11,0,12,11,8,1,0,0,4,5
middle_inside,0,1,0,0,0,0,14,1,23,0,0,0,0,0,1,2,0,6,6,6,1,0,0,1,8
middle_left,0,1,0,0,0,1,2,11,25,0,0,0,0,0,0,6,0,14,8,5,2,0,0,2,0
middle_outside,0,0,0,0,0,3,2,4,13,1,0,0,0,0,0,0,0,6,5,1,1,0,0,0,3
middle_right,0,0,0,0,0,1,16,5,34,1,7,1,0,0,3,5,0,12,12,15,1,0,0,1,12
