actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,0,2,2,2,0,0,6,2,5,0,0,2,0,0,0,0,2,0,1,1,0,0,0,0,0
above_inside,0,0,1,0,1,0,3,0,3,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0
above_left,3,2,1,3,0,0,3,1,10,0,0,0,1,2,0,0,0,0,1,3,0,0,0,0,0
above_outside,0,1,0,3,0,0,6,1,7,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
above_right,1,1,0,0,1,0,4,0,7,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0
below_center,6,1,0,9,1,0,28,10,25,8,0,3,3,8,0,0,7,0,5,20,0,0,1,1,0
below_inside,6,4,1,3,0,0,42,3,12,3,0,0,3,0,0,0,13,1,1,23,1,0,0,1,0
below_left,8,3,3,9,2,0,18,13,34,5,0,4,2,5,0,0,2,0,3,6,0,0,1,0,0
below_outside,1,2,2,4,0,0,5,5,12,0,0,0,1,2,0,0,2,0,1,6,0,0,2,0,0
below_right,11,0,1,4,1,0,36,4,18,4,0,1,1,2,0,0,5,5,4,13,1,0,0,0,0
high_center,3,4,3,3,2,0,9,2,20,1,0,2,4,2,0,0,2,0,1,11,1,0,0,1,0
high_inside,2,2,0,1,0,0,9,2,13,0,0,0,1,3,0,0,0,0,2,1,0,0,0,0,0
high_left,2,2,0,6,2,0,9,3,11,1,0,2,1,4,0,0,2,0,1,12,0,0,0,0,0
high_outside,3,1,4,11,0,0,9,1,14,1,0,1,3,4,0,0,1,1,1,3,0,0,0,1,0
high_right,2,1,2,1,0,0,15,1,12,2,0,1,2,1,1,0,2,2,2,5,0,0,1,0,0
low_center,7,5,0,15,3,0,28,5,22,4,0,5,1,3,0,0,10,4,4,21,3,0,3,0,0
low_inside,5,2,0,2,1,0,29,1,9,1,0,0,0,0,0,0,11,0,2,27,0,0,1,0,0
low_left,5,2,2,18,3,0,17,3,39,2,0,3,3,10,0,0,4,1,1,9,0,0,3,3,0
low_outside,1,0,2,12,0,0,13,7,32,1,0,4,2,6,0,0,2,3,3,6,0,0,1,2,0
low_right,2,2,2,5,1,0,20,4,11,2,0,2,4,3,0,0,3,2,3,38,0,0,1,2,0
middle_center,7,3,1,5,1,0,17,4,38,3,0,0,2,4,0,0,4,2,0,22,1,0,1,5,0
middle_inside,0,2,0,2,2,0,15,5,10,2,0,1,1,0,0,0,6,0,0,13,0,0,0,2,0
middle_left,3,0,2,11,0,0,6,5,23,2,0,0,5,10,0,0,1,1,0,14,1,0,2,0,0
middle_outside,3,2,3,17,1,0,12,5,25,1,0,1,2,9,0,0,4,2,3,15,0,0,1,4,0
middle_right,4,0,2,8,0,0,15,3,15,3,0,1,4,7,0,0,7,0,0,18,2,0,2,1,0
