actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,0,0,0,0,6,2,16,1,3,0,3,0,11,0,1,0,1,0,0,2,1,2,1,0,4
above_inside,0,2,0,0,3,0,42,0,3,0,5,1,8,0,7,0,4,0,0,9,2,2,0,0,6
above_left,0,0,0,1,0,0,12,0,1,0,1,0,12,0,1,0,0,0,0,0,0,0,0,0,0
above_outside,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
above_right,1,0,0,4,7,1,28,0,4,0,13,0,24,0,6,0,4,0,0,4,1,0,1,0,12
below_center,0,0,0,0,8,4,60,0,11,0,18,5,25,0,5,0,0,0,0,10,2,2,2,0,14
below_inside,0,0,0,1,0,0,16,0,0,0,1,0,1,0,1,0,0,0,0,3,0,1,0,0,2
below_left,0,1,0,4,8,6,64,0,13,0,13,7,15,0,8,0,5,0,0,12,5,2,5,1,15
below_outside,1,1,0,2,4,5,46,0,10,0,11,1,22,0,5,1,3,1,3,8,1,1,5,1,14
below_right,0,1,0,0,2,4,23,0,0,0,4,2,11,0,1,0,2,1,1,6,0,1,1,0,9
high_center,0,1,0,3,11,2,28,0,4,0,14,1,32,0,8,1,2,0,0,6,2,4,2,0,10
high_inside,0,0,0,3,5,2,36,0,3,0,8,2,15,0,0,1,2,0,0,6,4,2,0,0,5
high_left,0,0,0,3,3,0,14,0,2,0,5,0,16,0,6,0,0,0,0,5,0,2,1,0,4
high_outside,0,2,0,0,1,0,10,0,0,0,3,1,2,0,0,0,0,0,0,2,0,0,0,0,1
high_right,0,1,0,6,7,1,32,0,2,0,14,0,25,0,10,0,2,0,1,7,5,3,1,0,11
low_center,0,1,0,2,9,2,39,0,9,0,13,1,36,0,11,1,1,1,1,9,6,2,1,0,23
low_inside,0,0,0,2,1,2,21,0,2,0,2,1,13,0,7,0,1,1,0,7,1,1,0,0,2
low_left,0,1,0,4,7,5,32,0,1,0,11,2,29,0,6,0,4,1,0,5,4,2,1,0,13
low_outside,0,1,0,1,4,1,14,0,5,0,8,1,16,0,1,0,0,1,2,9,1,0,2,0,4
low_right,1,0,0,5,4,0,34,0,3,0,12,0,27,0,5,0,4,0,0,7,3,0,0,0,6
middle_center,0,1,0,5,9,4,40,0,2,0,14,3,46,0,11,0,7,1,2,9,3,8,1,0,20
middle_inside,0,0,0,1,6,2,32,0,2,0,11,0,20,0,5,0,4,0,0,8,3,4,2,0,5
middle_left,0,1,0,4,2,1,21,0,4,0,14,1,22,0,7,0,2,0,1,3,5,0,0,0,13
middle_outside,0,1,0,1,5,3,9,0,1,0,2,1,9,0,1,0,1,0,0,2,1,0,1,0,4
middle_right,0,4,0,4,9,6,33,0,4,0,20,2,32,0,8,0,5,0,0,11,6,1,3,1,18
