actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,5,0,2,0,0,7,13,6,12,0,0,3,2,14,1,5,9,3,8,1,1,5,7,0,2
above_inside,1,0,0,0,0,4,5,8,1,0,0,2,0,5,0,1,1,3,5,0,0,0,1,0,0
above_left,0,0,1,0,0,10,11,14,5,0,0,2,0,12,1,4,7,4,4,0,2,3,5,0,0
above_outside,2,0,0,0,0,6,1,2,4,0,0,0,1,7,1,1,2,1,3,0,0,0,9,0,0
above_right,0,0,2,0,0,6,10,6,7,0,0,5,1,9,0,0,12,5,7,0,1,0,4,0,0
below_center,3,0,3,2,0,5,4,12,8,0,0,2,1,12,1,5,3,10,17,0,0,4,3,0,0
below_inside,6,0,3,0,2,12,18,15,14,0,0,2,2,12,1,3,14,5,10,0,1,4,7,0,0
below_left,2,0,0,0,0,6,0,7,7,0,0,0,0,3,0,4,0,4,7,0,0,1,3,0,0
below_outside,0,0,0,0,0,1,1,2,3,0,0,1,0,1,0,0,2,0,3,0,0,1,0,0,0
below_right,6,0,2,0,0,8,10,13,23,0,0,3,1,17,0,6,5,7,17,0,0,6,6,0,0
high_center,4,1,0,2,2,7,4,9,4,0,0,7,5,18,3,5,9,2,15,0,2,9,11,0,3
high_inside,2,0,0,1,1,6,6,2,3,0,0,7,4,14,0,1,9,2,4,0,1,4,3,0,0
high_left,5,0,0,2,0,8,7,6,4,0,0,2,4,17,2,3,6,5,8,0,2,6,7,0,2
high_outside,0,0,0,0,0,4,1,1,2,0,0,1,3,12,0,3,7,5,3,0,0,0,5,0,0
high_right,2,0,4,2,1,6,11,10,9,0,0,9,3,24,1,2,10,4,11,0,0,3,8,0,1
low_center,4,0,0,0,0,6,4,11,10,0,0,2,0,12,3,13,6,6,17,1,0,3,9,1,1
low_inside,3,0,1,0,0,7,14,6,3,0,0,1,0,13,1,2,7,1,6,0,0,5,9,0,0
low_left,1,0,0,1,0,8,2,4,5,0,0,0,3,10,2,9,3,3,11,0,0,3,8,0,0
low_outside,1,0,0,0,0,3,1,3,4,0,0,0,0,6,1,0,1,2,11,0,0,0,2,0,0
low_right,3,0,1,1,0,9,13,4,4,0,0,2,1,8,1,8,7,4,8,0,1,2,8,0,0
middle_center,6,0,1,3,2,6,5,5,7,0,0,6,5,27,1,8,9,7,11,0,2,4,14,1,2
middle_inside,5,0,0,1,0,4,8,7,3,0,0,3,0,8,1,1,13,0,5,0,1,7,4,0,0
middle_left,1,0,0,1,0,5,3,7,2,0,0,0,2,16,2,6,10,8,10,0,1,5,8,0,2
middle_outside,0,0,0,0,0,2,1,0,2,0,1,0,1,5,0,2,4,3,7,0,0,0,4,0,0
middle_right,5,0,0,1,0,4,6,6,2,0,0,8,1,10,2,1,13,7,17,0,1,2,9,0,0
