actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,4,0,3,4,20,0,0,0,0,0,0,8,2,2,0,0,0,0,0,0,2,0,3,0,0
above_inside,0,0,0,1,3,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
above_left,9,2,3,6,15,0,2,0,0,0,0,7,0,6,0,0,0,0,0,0,1,1,1,0,0
above_outside,7,0,8,9,22,0,2,0,0,0,0,7,1,2,0,1,0,0,0,0,0,0,2,0,0
above_right,2,0,2,2,8,0,2,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
below_center,10,1,5,15,49,0,0,0,0,0,0,16,0,2,0,2,0,1,0,0,1,0,9,0,0
below_inside,12,1,2,6,52,0,5,0,0,5,0,19,1,2,0,1,0,1,0,1,0,0,3,0,1
below_left,11,1,6,14,48,0,0,0,0,1,0,10,1,4,0,1,2,0,0,0,1,1,15,0,2
below_outside,5,0,1,3,22,0,2,0,0,1,0,9,1,0,0,2,0,0,0,0,0,0,3,0,0
below_right,9,0,2,8,34,0,0,0,0,0,0,5,1,2,0,0,0,1,0,0,0,1,10,0,4
high_center,8,0,6,19,35,0,2,0,0,0,0,5,4,8,0,0,0,1,0,0,1,3,11,1,0
high_inside,1,2,1,1,9,0,1,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,1,0,1
high_left,5,0,4,14,42,0,1,0,0,1,0,10,3,6,0,1,2,0,0,0,0,0,7,0,2
high_outside,8,1,2,16,33,0,2,0,0,1,0,5,1,5,0,0,2,2,0,1,1,1,7,0,2
high_right,3,2,1,5,28,0,1,0,0,1,0,7,0,6,0,0,0,0,0,0,1,0,5,0,1
low_center,8,2,3,15,41,0,4,0,0,0,0,10,5,12,0,2,2,2,0,0,3,3,12,0,1
low_inside,5,1,2,1,41,0,4,0,0,2,0,10,1,2,0,1,2,0,0,0,2,1,3,0,0
low_left,6,0,1,19,44,0,3,0,0,2,0,16,3,5,0,4,1,1,0,0,3,2,14,0,4
low_outside,11,0,3,14,38,0,0,0,0,1,0,12,2,4,0,1,1,1,0,0,0,0,8,0,0
low_right,4,0,2,10,29,0,0,0,0,3,0,16,0,2,0,0,1,2,0,0,2,0,8,1,2
middle_center,7,2,6,19,52,0,2,0,0,0,0,11,5,10,0,3,0,0,0,0,4,0,15,0,0
middle_inside,5,0,4,3,15,0,2,0,0,0,0,11,1,0,0,0,0,0,0,0,0,2,0,0,1
middle_left,9,1,4,23,49,0,0,0,0,1,0,11,2,9,0,4,1,0,0,1,2,1,22,0,1
middle_outside,10,2,3,20,31,0,4,0,0,0,0,7,4,13,0,3,0,2,0,0,3,0,11,0,0
middle_right,7,0,1,8,29,0,5,0,0,2,0,7,1,3,0,1,0,0,0,0,2,1,7,0,2
