actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,0,2,0,0,1,10,0,6,45,2,0,0,0,1,0,0,0,0,0,1,5,0,2,2,0
above_inside,0,0,0,0,1,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
above_left,0,4,0,0,0,4,1,2,27,0,0,1,0,8,2,1,0,0,1,2,13,0,3,0,0
above_outside,0,2,1,0,0,5,1,5,26,3,0,0,0,6,0,0,0,0,0,1,4,0,2,0,0
above_right,0,4,0,1,0,1,0,6,29,3,0,1,0,3,0,0,0,0,0,0,6,0,2,2,0
below_center,1,0,0,0,0,7,0,8,35,0,0,1,0,8,1,0,0,0,0,1,8,0,3,3,0
below_inside,0,1,0,1,1,8,9,5,52,4,0,1,0,10,7,0,0,0,0,2,14,0,1,8,0
below_left,0,1,0,0,0,3,0,8,21,0,0,0,0,2,0,0,0,1,0,0,2,0,0,2,0
below_outside,0,2,0,0,0,2,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
below_right,1,4,0,0,0,3,0,6,40,2,0,0,0,9,4,0,0,1,1,2,15,0,3,8,0
high_center,2,3,0,0,0,11,1,8,38,5,0,0,0,11,0,1,0,2,2,2,28,0,3,2,0
high_inside,0,4,0,0,0,7,1,1,19,0,0,0,0,2,1,0,0,0,0,2,6,0,1,4,0
high_left,0,1,0,0,0,8,1,8,35,2,0,0,0,15,2,0,0,2,2,0,21,0,0,6,0
high_outside,0,3,0,0,0,6,0,6,25,1,0,0,0,5,3,0,0,1,3,1,9,0,0,2,0
high_right,3,3,0,0,0,14,0,7,25,1,0,0,0,11,4,2,0,2,0,0,16,0,1,4,0
low_center,3,1,0,0,1,9,3,18,43,1,0,1,0,12,3,0,0,3,2,0,18,0,4,7,0
low_inside,1,3,0,0,0,7,5,6,30,0,0,1,0,9,5,0,0,2,0,2,8,0,4,6,0
low_left,1,1,0,0,0,7,1,12,24,0,0,1,0,3,0,0,0,4,1,1,13,0,1,2,0
low_outside,0,0,0,0,0,2,0,4,13,0,0,0,0,3,0,1,0,0,1,0,1,0,1,3,0
low_right,2,3,0,0,0,18,3,9,27,4,0,1,0,20,1,0,0,5,1,2,20,0,1,9,1
middle_center,2,3,0,0,0,17,1,14,37,2,0,0,0,22,6,2,0,3,2,1,45,0,4,13,0
middle_inside,2,0,0,0,0,7,1,6,21,2,0,1,0,8,4,1,0,1,0,1,12,0,1,5,0
middle_left,1,2,0,1,0,16,1,9,38,1,0,1,0,4,2,1,0,3,1,1,21,0,3,8,0
middle_outside,1,1,0,0,0,6,0,3,16,1,0,0,0,6,1,0,0,0,0,0,14,0,3,2,0
middle_right,2,3,0,1,1,12,2,8,40,4,0,1,0,22,4,1,0,4,1,2,34,0,2,9,0
