actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,8,18,6,0,2,0,0,2,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
above_inside,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
above_left,5,18,7,0,3,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
above_outside,10,15,7,5,2,1,0,5,7,0,0,1,0,0,0,0,0,1,1,0,0,0,0,5,0
above_right,1,9,5,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
below_center,16,24,18,1,8,0,0,10,5,1,0,2,0,0,1,2,0,2,2,0,0,0,2,3,0
below_inside,20,91,24,4,22,0,0,17,8,0,0,2,0,1,0,2,0,2,3,0,1,0,1,7,0
below_left,4,19,2,0,6,0,0,4,4,0,0,1,0,0,0,0,0,1,4,0,0,0,0,5,0
below_outside,2,8,1,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0
below_right,13,35,21,5,19,1,0,8,4,0,0,1,2,0,0,1,0,3,3,0,1,0,1,6,0
high_center,12,19,6,3,6,0,1,5,2,0,0,2,0,1,1,0,0,0,3,0,0,0,1,3,0
high_inside,2,8,1,2,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
high_left,7,24,12,3,5,0,0,8,1,0,0,0,0,0,0,2,0,0,1,0,0,0,1,2,0
high_outside,7,27,14,3,6,1,0,6,5,1,0,0,0,1,0,0,0,0,3,0,1,1,1,8,0
high_right,6,11,5,1,9,0,0,2,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0
low_center,23,62,34,3,17,1,0,17,3,0,0,0,0,0,0,0,0,1,3,0,1,2,1,6,0
low_inside,9,44,13,4,22,0,0,3,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,7,0
low_left,10,24,19,1,8,0,0,11,6,1,0,0,1,0,0,0,0,1,2,0,1,0,0,5,0
low_outside,4,16,9,3,3,0,0,5,3,0,0,1,0,0,0,0,0,0,2,0,1,1,1,4,0
low_right,19,48,29,8,11,1,0,12,13,0,0,2,0,1,1,0,0,2,0,0,2,1,0,4,0
middle_center,20,37,17,3,13,0,1,8,5,0,0,0,0,2,0,0,0,1,1,0,2,0,0,6,0
middle_inside,7,18,5,3,9,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
middle_left,16,33,20,6,15,0,0,12,4,0,0,1,0,1,0,0,0,1,2,0,0,1,0,1,0
middle_outside,7,22,16,5,6,0,0,9,7,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0
middle_right,12,37,18,4,6,0,1,4,4,0,0,2,0,0,0,2,0,2,2,0,0,0,3,4,0
