actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,0,5,2,0,7,0,12,4,2,2,0,4,0,0,0,0,3,1,6,2,0,0,0,18,0
above_inside,0,4,0,0,3,1,3,0,0,0,0,3,0,0,0,2,0,1,0,0,0,0,0,6,0
above_left,0,6,0,0,9,0,10,0,2,0,0,2,0,0,0,0,1,0,3,2,0,0,0,12,0
above_outside,0,2,2,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0
above_right,0,9,0,0,9,0,5,0,1,0,0,3,0,0,0,0,3,1,1,3,0,0,0,18,0
below_center,0,13,8,1,17,1,13,1,1,1,0,2,0,0,0,7,6,6,7,9,0,1,0,42,0
below_inside,0,26,1,1,14,0,45,5,1,4,0,2,0,0,0,1,17,1,9,15,0,1,0,19,2
below_left,0,5,4,0,15,1,2,0,0,1,0,2,0,0,0,3,3,4,4,5,0,0,0,37,0
below_outside,0,4,2,0,3,1,2,4,0,0,0,3,0,0,0,0,1,0,2,0,0,0,0,10,0
below_right,0,10,5,0,13,1,25,4,2,3,0,4,0,0,0,2,9,5,8,13,0,0,0,32,1
high_center,0,4,5,0,8,1,8,1,0,1,0,4,0,0,0,2,8,1,6,6,0,0,0,20,1
high_inside,0,4,1,0,5,0,4,0,1,0,0,1,0,0,0,0,1,1,4,2,0,0,0,15,0
high_left,0,0,2,0,4,0,0,0,1,1,0,1,0,0,0,1,1,0,6,3,0,0,0,17,0
high_outside,0,4,0,0,4,0,1,1,0,0,0,1,0,0,0,1,3,1,3,1,0,0,0,18,0
high_right,0,10,3,0,5,0,12,3,0,3,0,3,0,0,0,1,6,2,6,3,0,1,0,25,0
low_center,0,5,3,0,5,0,11,2,0,4,0,3,0,0,0,2,12,1,10,18,0,1,1,46,0
low_inside,1,11,1,0,3,0,14,2,0,2,0,2,0,0,1,3,14,1,6,10,0,4,0,21,1
low_left,0,9,5,0,9,0,13,5,0,1,0,4,0,0,0,7,6,4,8,6,0,0,1,57,0
low_outside,0,7,3,1,6,1,10,5,0,2,0,4,0,0,0,0,5,2,9,4,0,0,2,39,0
low_right,0,8,1,0,3,0,26,0,0,5,0,4,0,0,0,3,16,1,8,18,0,0,0,18,0
middle_center,1,4,1,0,3,0,13,1,0,2,0,4,0,0,0,6,10,0,2,21,0,0,1,26,0
middle_inside,0,11,1,0,5,0,19,3,0,0,0,7,0,0,0,3,8,0,5,5,0,1,0,26,0
middle_left,0,5,4,0,4,1,8,4,2,3,0,1,0,0,0,9,9,3,6,6,0,0,0,54,0
middle_outside,0,8,2,0,7,0,7,3,0,5,0,7,0,0,0,3,3,4,3,11,0,1,1,36,0
middle_right,0,13,2,0,9,1,19,2,0,6,0,3,0,0,0,8,15,4,3,21,0,1,0,26,3
