actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,5,1,1,0,23,5,3,1,38,9,0,1,1,0,2,0,0,0,10,1,0,0,0,0,2
above_inside,0,0,0,0,4,0,2,0,5,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
above_left,3,3,0,0,13,3,0,0,38,9,1,0,1,0,0,0,0,1,14,0,0,0,1,0,3
above_outside,2,2,2,0,10,2,1,1,25,9,1,0,0,1,2,0,0,0,6,0,0,0,0,0,3
above_right,1,1,1,0,9,1,0,2,18,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0
below_center,7,3,1,0,18,2,2,4,51,15,0,0,1,0,1,1,0,1,23,1,0,0,0,0,5
below_inside,4,4,3,0,27,1,5,0,30,22,0,0,0,0,1,1,0,0,10,0,1,0,0,0,1
below_left,6,0,4,0,21,2,4,0,35,5,2,0,0,0,1,0,0,0,12,1,0,0,1,0,5
below_outside,4,2,1,0,13,0,3,0,37,2,2,0,0,0,0,1,0,0,6,0,0,0,0,0,1
below_right,2,3,0,0,25,2,4,1,28,22,1,0,0,0,1,0,0,0,16,1,0,0,2,0,3
high_center,5,3,1,1,19,6,1,1,27,10,4,0,3,1,2,2,0,0,20,2,0,0,2,0,3
high_inside,1,0,0,0,1,0,0,0,9,2,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0
high_left,2,2,1,0,14,3,3,1,27,9,5,0,2,0,1,0,0,0,24,0,1,0,1,0,4
high_outside,2,0,0,0,10,4,2,0,30,5,3,0,1,1,0,0,0,1,13,1,0,0,0,0,3
high_right,2,3,0,0,8,2,1,1,11,2,0,0,2,0,1,0,0,0,7,2,0,0,1,0,0
low_center,3,0,3,1,15,5,4,1,39,21,5,0,0,0,2,1,0,2,21,1,1,0,4,0,4
low_inside,0,1,0,0,8,3,3,0,12,12,1,0,0,0,1,0,0,2,7,0,0,0,0,0,0
low_left,3,4,1,0,19,3,2,2,29,7,3,0,2,0,1,0,0,0,23,3,0,0,2,0,4
low_outside,5,0,6,0,15,2,3,2,37,12,2,0,1,0,0,0,0,0,17,1,0,0,0,0,3
low_right,2,0,0,0,16,5,3,1,23,12,1,0,1,0,1,2,0,0,17,3,1,1,0,0,2
middle_center,1,0,1,0,14,6,0,2,21,25,7,1,2,0,0,1,0,0,34,4,1,0,1,0,6
middle_inside,0,3,0,0,2,1,0,0,3,2,0,0,1,0,1,0,0,0,4,1,0,0,1,0,2
middle_left,2,0,1,1,29,3,1,4,39,15,4,1,6,0,2,3,0,1,22,1,0,0,3,0,4
middle_outside,4,2,1,0,14,2,0,4,47,6,2,0,0,0,2,0,0,0,24,4,0,0,1,1,5
middle_right,1,1,0,0,11,4,2,0,17,7,3,0,2,0,2,0,0,0,10,0,0,0,2,0,2
