actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,0,5,0,0,0,1,0,50,17,0,5,28,1,0,7,1,1,5,12,0,0,15,1,2,4
above_inside,0,1,0,0,0,1,0,11,6,0,0,13,0,0,1,0,0,0,7,0,0,3,2,0,1
above_left,0,2,0,0,0,2,0,54,15,0,7,31,1,0,6,0,2,6,16,0,0,14,0,1,1
above_outside,0,3,0,0,0,0,0,27,15,0,1,12,0,0,3,0,0,6,8,0,0,4,0,0,0
above_right,0,7,0,0,0,0,0,34,17,0,1,28,1,0,6,0,0,4,13,0,0,9,1,0,2
below_center,0,7,0,0,0,0,0,26,11,0,1,14,0,0,4,0,0,0,8,0,0,5,0,0,0
below_inside,0,12,0,0,0,0,0,11,6,0,2,35,2,0,3,0,2,2,3,0,0,15,0,0,3
below_left,0,1,0,0,0,0,0,19,7,0,0,5,1,0,2,0,0,0,2,0,0,1,0,1,0
below_outside,0,1,0,0,0,0,0,7,2,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0
below_right,0,3,0,0,0,1,0,26,11,0,0,19,0,0,5,1,0,0,3,0,0,15,1,0,2
high_center,0,6,0,0,0,3,0,50,25,0,7,41,2,0,11,0,2,6,26,0,0,19,3,1,2
high_inside,0,9,0,0,0,0,0,10,6,0,3,20,1,0,2,0,0,4,4,0,0,17,0,0,2
high_left,0,5,0,0,0,0,0,31,17,0,6,14,0,0,5,0,0,7,18,0,0,7,0,1,2
high_outside,0,0,0,0,0,0,0,16,9,0,0,7,1,0,3,0,0,1,15,0,0,3,0,0,0
high_right,0,4,0,0,0,1,0,32,11,0,7,40,2,0,5,0,1,4,9,0,0,10,0,0,3
low_center,0,6,0,0,0,5,0,30,13,0,0,26,0,0,14,0,1,5,18,0,0,4,0,1,4
low_inside,0,6,0,0,0,0,0,11,1,0,1,31,0,0,7,2,0,2,3,0,0,15,0,0,2
low_left,0,6,0,0,0,2,0,23,11,0,2,8,3,0,1,0,0,2,12,0,0,2,0,0,0
low_outside,0,0,0,0,0,0,0,6,6,0,0,1,1,0,0,0,0,0,2,0,0,1,1,0,0
low_right,0,6,0,0,0,1,0,15,13,0,5,34,1,0,4,0,1,4,10,0,0,13,0,1,1
middle_center,0,7,0,0,0,1,0,42,25,0,8,35,0,0,7,1,0,11,16,0,0,13,2,3,1
middle_inside,0,8,0,0,0,0,0,6,7,0,3,35,2,0,9,0,2,4,6,0,0,8,0,0,3
middle_left,0,6,0,0,0,0,0,34,13,0,3,11,2,0,0,0,1,1,16,0,0,5,0,0,0
middle_outside,0,2,0,0,0,0,0,20,9,0,1,4,0,0,4,1,0,0,7,0,0,3,0,0,0
middle_right,0,7,0,0,0,0,0,29,13,0,4,49,3,0,6,0,1,6,15,0,0,16,1,2,4
