actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,0,0,0,2,0,0,29,0,1,1,0,0,0,6,0,0,3,0,0,0,0,5,0,0,0
above_inside,0,0,0,0,0,0,18,0,1,1,0,0,0,4,0,0,3,0,5,0,0,6,0,4,0
above_left,0,0,0,0,0,0,10,0,0,0,0,0,0,4,0,0,0,0,2,0,0,3,0,0,0
above_outside,0,0,0,0,0,0,8,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
above_right,0,0,0,1,0,0,19,0,0,0,0,0,0,7,0,0,3,0,1,0,0,8,0,1,0
below_center,0,0,0,5,0,0,122,0,0,0,0,0,1,16,0,0,8,0,15,0,0,30,0,13,0
below_inside,0,0,0,3,0,0,35,0,0,0,0,0,0,2,0,0,0,0,0,1,0,7,0,1,0
below_left,0,0,0,2,0,0,116,0,1,0,0,0,1,8,0,0,7,0,9,1,0,21,0,7,0
below_outside,0,0,0,2,0,0,107,0,2,1,0,0,0,17,0,0,3,0,9,0,0,8,0,6,0
below_right,0,0,0,1,0,0,67,0,0,0,0,0,1,7,0,0,3,0,6,0,0,23,0,4,0
high_center,0,0,0,2,0,0,32,0,0,0,0,0,1,8,0,0,3,0,6,0,0,11,0,3,0
high_inside,0,0,0,3,0,0,53,0,0,0,0,0,1,5,0,0,4,0,3,0,0,15,0,4,0
high_left,0,0,0,0,0,0,27,0,0,0,0,0,0,1,0,0,4,0,6,0,0,8,0,3,0
high_outside,0,0,0,1,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0
high_right,0,0,0,0,0,0,50,0,0,0,0,0,0,9,0,0,7,0,2,1,0,5,0,7,0
low_center,0,0,0,4,0,0,73,0,0,0,0,0,2,12,0,0,12,0,8,0,0,28,0,6,0
low_inside,0,0,0,1,0,0,53,0,0,0,0,0,1,6,0,0,7,0,4,1,0,15,0,4,0
low_left,0,0,0,4,0,0,53,0,0,0,0,0,0,15,0,0,7,0,8,0,0,15,0,6,0
low_outside,0,0,0,2,0,0,23,0,0,0,0,0,1,8,0,0,1,0,4,0,0,5,0,4,0
low_right,0,0,0,3,0,0,69,0,1,0,0,0,1,14,0,0,10,0,7,2,0,33,0,6,0
middle_center,0,0,0,6,0,0,54,0,0,0,0,0,0,14,0,0,15,0,4,1,0,21,0,5,0
middle_inside,0,0,0,0,0,0,53,0,0,0,0,0,2,6,0,0,6,0,5,0,0,20,0,2,0
middle_left,0,0,0,2,0,0,32,0,0,0,0,0,1,11,0,0,1,0,7,0,0,18,0,6,0
middle_outside,0,0,0,2,0,0,23,0,0,0,0,0,0,5,0,0,3,0,4,0,0,3,0,2,0
middle_right,0,0,0,1,0,0,59,0,0,0,0,0,0,7,0,0,9,0,4,1,0,26,0,6,0
