actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,0,0,0,0,0,5,1,13,6,3,1,9,0,0,1,3,13,0,12,2,3,0,0,0,0
above_inside,0,0,0,0,0,3,0,7,0,0,0,1,0,0,1,1,3,0,0,0,0,0,0,0,0
above_left,0,1,0,0,1,2,0,8,2,2,0,2,0,0,0,4,5,0,5,0,2,0,2,0,0
above_outside,0,2,0,0,0,2,0,6,1,1,0,3,0,0,0,2,4,0,7,2,0,0,0,0,0
above_right,0,1,0,0,0,3,0,12,3,3,1,4,1,0,0,4,6,0,4,1,2,1,1,0,0
below_center,0,0,0,0,0,5,0,16,5,2,2,13,3,0,2,3,7,0,9,1,6,2,0,0,0
below_inside,0,6,0,0,1,8,2,29,7,6,1,24,0,0,3,4,33,0,14,2,0,2,0,0,2
below_left,0,0,0,0,0,3,0,17,4,3,0,0,0,0,0,0,6,0,12,1,2,0,0,0,1
below_outside,0,0,0,0,0,2,0,5,0,1,1,2,0,0,0,0,3,0,3,0,0,0,0,0,1
below_right,0,1,0,0,0,9,1,22,5,0,1,15,2,0,0,3,14,0,12,1,0,0,0,0,0
high_center,0,1,0,0,0,9,0,30,4,3,2,21,1,0,2,8,15,0,19,2,3,1,1,0,0
high_inside,0,1,0,0,0,0,0,9,2,2,1,3,2,0,0,0,12,0,7,1,3,0,0,0,0
high_left,0,1,0,0,1,5,0,23,2,6,2,13,1,0,1,4,9,0,10,1,2,1,0,0,0
high_outside,0,0,0,0,0,4,0,9,1,2,1,5,1,0,0,2,8,0,11,0,5,0,0,0,0
high_right,0,0,0,0,1,1,0,24,3,4,1,17,1,0,1,4,25,0,17,2,7,2,0,0,2
low_center,0,0,0,0,1,3,0,24,5,4,5,10,4,0,5,4,13,0,27,2,4,0,1,0,1
low_inside,0,3,0,0,0,2,1,11,0,9,2,28,1,1,3,4,23,0,17,4,6,0,0,0,0
low_left,0,1,0,0,0,2,0,15,1,3,2,5,3,0,3,4,6,0,17,3,3,0,0,0,1
low_outside,0,0,0,0,0,1,0,3,1,0,0,4,0,0,1,3,2,0,9,0,0,0,0,0,0
low_right,0,0,0,0,0,4,0,17,4,3,4,24,1,3,2,1,20,0,30,5,7,3,1,0,0
middle_center,0,2,0,0,0,8,0,25,7,7,8,22,1,3,3,5,19,0,29,2,9,0,2,0,1
middle_inside,0,3,0,0,0,10,0,16,5,5,0,15,2,1,3,2,22,0,13,2,2,1,0,0,1
middle_left,0,0,0,0,0,5,0,17,4,4,2,16,1,0,2,5,10,0,18,2,8,0,0,0,2
middle_outside,0,0,0,0,0,1,0,14,2,5,1,3,1,0,0,2,6,0,9,0,3,4,1,0,0
middle_right,0,0,0,0,0,11,0,31,10,7,3,21,1,0,1,9,19,0,25,0,12,1,0,0,0
