actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,2,19,1,2,7,1,0,8,2,0,0,0,0,0,0,0,1,0,6,0,0,0,1,0,3
above_inside,0,11,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0
above_left,2,18,0,0,10,1,1,2,4,0,0,0,0,0,0,0,1,0,12,0,0,0,1,2,0
above_outside,0,16,0,0,10,0,1,3,7,0,0,1,0,0,0,0,1,0,9,0,0,0,2,1,0
above_right,0,13,0,0,8,1,2,3,8,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,1
below_center,1,16,0,0,12,3,1,10,20,2,0,0,0,0,0,0,6,1,12,0,0,0,2,2,3
below_inside,12,100,1,0,34,1,8,12,8,3,0,0,0,0,0,0,28,0,21,0,0,0,4,11,10
below_left,0,6,0,0,3,0,0,1,5,0,0,0,0,0,0,0,2,0,5,0,0,0,2,2,0
below_outside,0,2,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
below_right,1,38,0,0,17,1,0,8,15,1,0,0,0,0,0,1,13,0,21,0,0,1,1,5,7
high_center,8,31,2,0,17,1,0,6,9,0,0,0,0,0,0,0,4,1,10,0,0,0,1,2,8
high_inside,2,26,0,0,7,0,1,4,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,2,1
high_left,1,16,1,1,16,1,0,10,8,0,0,0,0,0,0,0,3,0,11,0,0,0,4,8,4
high_outside,1,13,0,0,11,3,0,2,6,0,0,0,0,0,0,0,1,0,6,0,0,0,2,3,2
high_right,3,27,0,0,18,1,2,5,2,0,0,0,0,0,0,0,4,0,7,0,0,0,2,3,1
low_center,0,37,1,1,23,3,0,12,17,1,0,0,0,0,0,0,3,1,24,0,0,0,6,6,12
low_inside,11,50,0,0,10,0,2,12,8,1,0,0,0,0,0,1,19,0,19,0,0,0,7,6,4
low_left,2,14,1,0,9,3,0,6,16,0,0,0,0,0,0,0,7,2,10,0,0,0,2,4,2
low_outside,0,3,0,2,5,1,0,3,8,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0
low_right,6,36,0,0,25,3,1,7,8,1,0,0,0,0,0,1,7,1,26,0,0,0,5,5,5
middle_center,3,22,1,0,19,7,0,12,10,1,0,0,0,0,0,0,10,1,24,0,0,0,5,11,7
middle_inside,5,36,1,0,11,1,2,10,5,0,0,0,0,0,0,0,6,0,12,0,0,0,1,2,3
middle_left,5,22,1,0,14,4,1,6,15,0,0,1,0,0,0,0,3,0,17,0,0,0,4,4,6
middle_outside,3,13,0,0,8,0,0,4,6,0,0,0,0,0,0,1,3,1,9,0,0,0,1,5,3
middle_right,7,37,0,0,15,5,2,7,7,3,0,0,0,0,1,0,8,0,8,0,0,0,8,13,3
