actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,0,1,0,23,0,0,0,3,0,16,0,0,13,6,0,0,0,1,0,1,4,2,4,0,7
above_inside,0,0,0,5,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,2,0,0
above_left,0,1,0,20,0,0,1,1,0,11,0,0,13,8,0,0,1,1,0,2,2,0,6,0,3
above_outside,0,1,0,17,0,0,2,2,0,1,0,0,25,10,0,1,0,0,0,2,2,0,4,0,2
above_right,1,0,0,10,0,0,1,2,0,8,0,0,6,4,0,0,3,0,0,0,2,2,2,0,3
below_center,1,2,0,20,0,0,2,3,0,10,0,0,19,10,0,0,4,1,0,0,2,1,10,0,4
below_inside,0,1,0,9,0,0,8,3,0,34,1,0,12,1,0,0,6,2,0,8,13,0,2,0,15
below_left,0,0,0,23,0,0,0,5,0,2,0,0,16,6,0,0,1,0,0,1,1,0,8,0,1
below_outside,0,0,0,7,0,0,0,1,0,0,0,0,3,4,0,0,0,0,0,0,0,0,1,0,2
below_right,0,2,0,20,0,0,4,0,0,29,0,0,16,5,0,1,2,2,0,6,5,0,10,0,12
high_center,0,1,0,17,0,0,0,8,0,9,0,0,21,7,0,0,6,0,0,2,8,0,16,0,15
high_inside,0,0,0,6,0,0,0,1,0,3,0,0,4,1,0,0,3,0,0,0,2,0,2,0,1
high_left,0,3,0,17,0,0,0,4,0,0,0,0,23,15,0,0,3,2,0,2,7,0,22,0,6
high_outside,0,2,0,15,0,0,1,4,0,1,0,0,25,10,0,0,2,0,0,2,3,0,7,0,5
high_right,0,0,0,11,0,0,0,3,0,7,1,0,6,8,0,0,3,0,1,0,5,1,4,1,12
low_center,0,0,0,14,0,0,2,2,0,9,1,0,22,16,0,0,4,1,0,3,16,1,18,0,16
low_inside,0,0,0,3,0,1,0,5,0,14,0,0,3,3,0,0,6,0,0,4,14,1,3,0,9
low_left,0,0,0,16,0,0,0,4,0,1,1,0,19,14,0,0,0,1,0,1,3,0,16,1,7
low_outside,0,0,0,12,0,0,0,2,0,0,0,0,4,7,0,0,2,0,0,0,2,0,3,0,3
low_right,0,2,0,14,0,0,5,7,0,15,0,0,12,3,0,0,5,3,1,5,14,3,12,0,16
middle_center,0,1,0,15,0,0,1,6,0,11,1,0,27,16,0,0,5,1,0,6,15,1,20,0,18
middle_inside,0,1,0,7,0,0,1,1,0,4,0,0,3,3,0,0,2,0,0,4,3,1,1,0,4
middle_left,0,0,0,18,0,0,2,8,0,6,0,0,36,18,0,0,1,2,0,2,10,1,14,1,9
middle_outside,0,0,0,21,0,0,0,7,0,0,0,0,14,18,0,0,1,2,0,2,6,0,9,0,1
middle_right,0,1,0,10,0,0,2,5,0,7,0,0,17,8,0,0,8,1,0,1,19,2,12,0,18
