actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,0,0,0,0,0,0,4,0,0,4,0,1,0,0,0,0,1,0,0,2,0,7,0,0,0
above_inside,0,0,0,0,0,0,7,0,0,2,0,3,0,0,0,0,4,0,1,2,0,6,0,0,0
above_left,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0
above_outside,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
above_right,0,1,0,0,0,0,6,0,0,1,0,1,0,0,0,0,1,0,0,5,0,12,0,0,0
below_center,0,3,1,0,0,4,64,0,2,27,0,22,0,0,0,0,7,0,1,20,0,69,0,0,1
below_inside,0,0,0,0,0,0,9,0,1,6,0,2,0,0,0,0,0,0,1,3,0,3,0,0,0
below_left,0,6,0,0,0,3,78,1,4,34,0,28,0,0,0,0,5,0,0,18,0,56,0,0,0
below_outside,0,6,1,0,0,5,65,1,2,34,0,25,0,0,0,0,9,0,2,14,0,59,0,0,1
below_right,0,1,0,0,0,2,21,0,1,28,0,8,0,0,0,0,2,0,0,7,0,33,0,0,0
high_center,0,2,1,0,0,0,18,0,1,8,0,4,1,0,0,0,5,0,1,10,0,25,0,0,0
high_inside,0,1,0,0,0,2,21,0,0,16,0,6,0,0,0,0,2,0,1,7,0,21,0,0,0
high_left,0,2,0,0,0,0,4,0,1,3,0,4,0,0,0,0,2,0,0,4,0,10,0,0,0
high_outside,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,2,0,2,0,0,0
high_right,0,2,0,0,0,0,22,0,1,11,0,12,0,0,0,0,4,0,0,7,0,16,0,0,1
low_center,0,1,0,0,0,2,36,1,1,34,0,27,0,0,0,0,10,0,4,15,0,58,0,0,1
low_inside,0,0,0,0,0,0,20,0,1,11,0,6,0,0,0,0,6,0,0,6,0,23,0,0,0
low_left,0,5,0,0,0,1,35,1,1,21,0,16,0,0,0,0,4,0,2,6,0,55,0,0,1
low_outside,0,1,1,0,0,2,5,0,3,11,0,7,0,0,0,0,2,0,2,6,0,19,0,0,0
low_right,0,1,0,0,0,5,36,0,1,20,0,20,0,0,0,0,8,0,0,15,0,55,0,0,1
middle_center,0,3,0,0,0,1,22,1,0,27,0,19,0,0,0,0,3,0,0,9,0,37,0,0,2
middle_inside,0,1,0,0,0,2,30,1,1,19,0,13,0,0,0,0,3,0,0,6,0,24,0,0,0
middle_left,0,1,0,0,0,3,19,0,0,17,0,7,0,0,0,0,3,0,1,8,0,30,0,0,0
middle_outside,0,0,0,0,0,1,6,0,0,6,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0
middle_right,0,0,1,0,0,1,27,0,0,24,0,21,0,0,0,0,5,0,0,15,0,38,0,0,0
