actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,0,1,0,0,1,14,5,3,11,4,2,0,10,4,4,1,3,5,0,0,2,0,2,9,0
above_inside,0,2,0,0,0,4,0,2,2,2,0,1,2,2,0,0,1,1,0,0,0,0,1,5,0
above_left,0,5,0,0,0,10,1,9,3,3,0,0,6,8,3,0,0,4,0,0,1,0,2,11,0
above_outside,0,1,0,0,0,17,5,7,10,3,2,0,3,4,2,1,0,9,0,0,1,0,0,11,0
above_right,0,4,0,0,0,6,2,7,3,6,1,0,3,3,3,0,0,8,0,0,2,1,0,10,0
below_center,0,4,0,0,0,10,5,7,12,6,0,0,2,3,1,0,0,7,0,0,0,2,0,16,0
below_inside,0,13,0,0,1,30,8,8,14,8,0,1,9,0,2,2,4,12,0,0,2,2,1,6,0
below_left,0,1,0,0,0,3,0,3,6,2,0,0,2,2,0,0,0,2,0,0,0,0,0,4,0
below_outside,0,0,0,0,0,5,1,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0
below_right,0,6,0,0,0,30,4,11,10,6,2,1,10,2,3,1,6,9,0,0,1,2,0,9,0
high_center,0,10,0,0,1,15,5,6,10,0,3,2,9,6,1,1,0,6,0,0,3,3,1,20,0
high_inside,0,6,0,0,0,8,2,1,2,1,1,2,0,1,1,0,0,5,0,0,1,0,0,12,0
high_left,0,3,0,0,0,15,1,6,5,2,4,2,8,8,5,0,1,10,0,1,2,2,1,20,0
high_outside,0,2,0,0,0,18,0,4,6,0,0,0,1,3,3,1,1,6,0,0,1,0,0,18,0
high_right,0,8,0,0,1,23,2,9,2,2,2,0,4,4,1,1,2,9,0,0,1,2,0,7,0
low_center,0,9,0,0,0,12,3,8,5,0,3,0,4,4,0,2,3,9,0,0,2,3,1,13,0
low_inside,0,10,0,0,0,20,7,5,5,5,2,1,3,1,3,0,2,11,0,0,1,1,0,11,0
low_left,0,1,0,0,0,10,3,2,4,2,0,0,5,1,0,0,3,9,0,0,3,1,0,10,0
low_outside,0,2,0,0,0,4,1,3,0,1,0,0,1,2,0,0,0,3,0,0,0,1,1,1,0
low_right,0,7,0,0,3,19,4,10,7,3,2,0,7,6,3,2,2,11,0,0,1,3,1,12,0
middle_center,0,10,0,0,0,25,1,13,14,2,5,2,9,6,4,1,0,15,0,2,5,1,1,23,0
middle_inside,0,6,0,0,0,15,3,7,2,5,2,0,7,2,4,0,1,7,0,0,1,1,0,9,0
middle_left,0,4,0,0,0,14,4,13,5,2,0,0,5,4,0,0,2,11,0,0,2,1,3,23,0
middle_outside,0,3,0,0,0,5,2,4,7,0,0,0,2,2,0,1,1,3,0,0,0,1,0,7,0
middle_right,0,9,1,0,0,20,4,8,10,1,3,2,10,3,3,2,1,11,0,0,1,0,0,12,0
