actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,18,29,4,1,16,0,0,0,1,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0
above_inside,3,12,0,0,5,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
above_left,21,19,2,1,21,0,0,0,0,0,0,1,2,2,3,0,0,0,0,0,0,0,0,0,0
above_outside,12,8,5,1,10,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
above_right,10,22,2,1,14,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
below_center,36,55,13,6,55,0,0,0,0,0,0,8,0,2,7,0,0,0,0,0,0,0,2,1,0
below_inside,41,59,4,1,41,0,0,0,1,0,0,9,0,0,9,0,0,0,0,0,0,0,1,0,0
below_left,12,15,3,6,38,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,1,0
below_outside,9,11,1,1,12,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0
below_right,23,44,9,5,40,0,0,0,1,0,0,14,0,1,3,0,0,0,0,0,0,0,2,0,0
high_center,35,29,7,2,28,0,0,0,0,0,1,16,0,1,14,0,0,0,0,0,0,0,1,0,0
high_inside,11,23,2,1,19,0,0,0,0,0,0,7,0,0,5,0,0,0,0,0,0,0,0,0,0
high_left,20,27,7,4,19,0,0,0,0,0,0,6,0,2,7,0,0,0,0,0,0,0,0,0,0
high_outside,14,11,3,1,17,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,2,0,0
high_right,17,36,2,0,31,0,0,0,0,0,0,17,0,1,5,0,0,0,0,0,0,0,0,0,0
low_center,27,44,4,2,50,0,0,0,1,0,0,12,0,2,14,0,0,0,0,0,0,0,0,0,0
low_inside,15,51,2,1,31,0,0,0,0,0,0,17,1,0,9,0,0,0,0,0,0,0,1,1,0
low_left,28,36,8,1,47,0,0,0,1,0,0,8,1,2,5,0,0,0,0,0,0,0,5,1,0
low_outside,14,16,3,2,32,0,0,0,1,0,0,7,0,3,5,0,0,0,0,0,0,0,1,0,0
low_right,15,40,1,3,33,0,0,0,0,0,0,10,2,0,11,0,0,0,0,0,0,0,1,1,0
middle_center,23,48,6,0,33,0,0,0,1,0,0,25,0,0,15,0,0,0,0,0,0,0,2,1,0
middle_inside,12,45,3,0,18,0,0,0,0,0,0,17,0,0,11,0,0,0,0,0,0,0,0,1,0
middle_left,18,30,6,0,26,0,0,0,2,0,0,8,0,2,3,0,0,0,0,0,0,0,1,0,0
middle_outside,15,20,3,1,25,0,0,0,0,0,0,6,1,1,3,0,0,0,0,0,0,0,1,1,0
middle_right,24,44,1,0,28,0,0,0,1,0,0,12,1,0,12,0,0,0,0,0,0,0,0,0,0
