actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,4,11,5,0,5,4,0,7,27,0,5,0,0,1,0,0,6,0,19,0,1,2,0,0,1
above_inside,2,3,0,0,0,1,0,2,6,0,0,2,0,1,0,0,1,0,3,0,0,1,0,0,0
above_left,6,1,2,0,4,0,0,11,23,0,0,1,2,1,0,0,4,1,10,0,0,1,0,0,1
above_outside,3,3,0,0,3,1,0,5,6,0,5,1,0,0,0,0,1,0,5,0,1,0,0,0,2
above_right,4,7,0,0,4,1,0,7,19,0,2,3,0,1,0,0,5,0,15,0,1,0,0,0,1
below_center,9,6,1,0,5,4,0,18,41,0,5,1,1,2,0,1,2,1,15,0,0,3,0,0,2
below_inside,10,6,0,0,7,3,0,16,39,0,6,2,0,1,0,0,10,1,21,0,0,1,0,0,3
below_left,5,7,0,0,1,1,0,11,19,0,4,2,0,2,0,0,2,0,10,0,0,0,0,0,2
below_outside,3,3,0,0,2,1,0,4,13,0,0,1,0,0,0,0,5,0,8,0,1,0,0,0,0
below_right,6,9,3,0,2,3,1,17,23,0,0,3,1,5,0,1,7,1,12,0,0,0,0,0,1
high_center,12,8,1,1,2,4,0,20,38,0,6,3,4,4,0,1,11,0,29,0,1,3,0,1,2
high_inside,3,7,0,0,2,0,0,5,21,0,5,2,0,0,0,1,6,1,9,0,2,1,0,0,2
high_left,4,5,1,0,2,6,0,13,25,0,6,0,4,2,0,0,3,1,21,0,3,2,0,0,1
high_outside,0,3,0,0,4,3,0,10,20,0,3,2,0,4,0,0,2,0,9,0,1,3,0,0,1
high_right,8,11,2,1,1,2,0,13,36,0,5,4,0,1,0,2,9,2,20,0,3,4,0,0,1
low_center,1,2,1,0,2,3,0,15,33,0,6,4,2,3,0,2,2,1,19,0,5,2,0,0,0
low_inside,1,4,2,0,5,3,0,12,21,0,2,3,4,0,0,1,14,1,17,0,3,1,0,0,4
low_left,5,5,0,0,3,5,0,11,29,0,1,3,0,6,0,6,9,0,24,0,4,1,0,0,1
low_outside,5,6,1,0,3,1,0,7,28,0,3,1,4,0,0,1,5,0,28,0,2,1,0,0,1
low_right,4,4,0,0,1,2,0,13,18,0,6,2,1,3,0,0,9,1,10,0,6,0,0,0,0
middle_center,5,5,0,3,4,3,0,11,31,0,7,2,9,3,0,1,11,1,25,0,12,2,0,0,2
middle_inside,5,6,0,0,3,1,0,8,23,0,2,2,2,2,0,0,7,1,10,0,2,1,0,0,3
middle_left,2,4,0,0,6,2,0,19,24,0,4,2,4,7,0,2,10,1,25,0,7,2,0,0,1
middle_outside,2,6,1,0,3,2,0,11,35,0,4,1,2,2,0,2,6,0,24,0,1,0,0,1,1
middle_right,2,8,2,1,3,5,1,12,23,0,3,7,6,5,0,2,11,0,13,0,5,5,0,0,5
