actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,3,0,7,20,1,4,1,5,9,3,0,2,1,6,6,2,3,3,0,1,2,4,2,1,2
above_inside,3,1,3,5,0,6,0,2,3,2,1,0,1,0,10,0,0,0,1,0,0,1,0,1,0
above_left,9,1,4,16,0,2,0,2,3,0,1,1,1,1,5,0,1,2,0,2,0,1,0,2,2
above_outside,1,0,2,5,1,2,0,0,4,2,0,0,0,0,2,1,1,0,0,0,1,0,0,0,0
above_right,3,0,0,15,1,7,0,0,3,2,0,1,0,7,3,0,0,0,1,0,2,3,2,0,1
below_center,8,0,17,36,2,13,0,2,8,2,1,4,3,10,5,3,1,2,2,1,5,2,7,3,0
below_inside,3,0,4,12,1,2,0,0,1,2,0,2,2,3,4,0,0,0,0,2,0,0,2,2,0
below_left,4,0,5,12,0,6,1,7,9,3,4,3,2,5,2,2,0,0,7,3,2,0,4,2,1
below_outside,4,0,6,15,0,7,0,6,20,3,1,1,0,6,3,3,1,0,1,3,3,1,2,3,1
below_right,9,0,9,28,3,20,0,2,5,5,2,4,2,5,5,0,2,0,1,2,2,3,7,1,1
high_center,12,0,14,20,2,11,1,6,7,4,3,3,1,12,8,4,2,0,4,3,2,2,2,1,2
high_inside,3,2,5,16,1,6,0,1,3,0,1,1,0,6,12,0,1,0,0,1,1,1,2,1,1
high_left,4,0,8,16,2,8,0,5,6,5,0,1,4,8,3,2,2,1,2,2,4,1,3,1,1
high_outside,0,0,1,14,1,3,0,1,1,1,0,1,0,6,5,2,1,0,0,0,1,0,2,0,0
high_right,6,1,4,14,1,9,0,0,4,3,1,2,1,7,6,1,1,2,1,4,2,1,1,4,0
low_center,8,1,4,27,1,14,0,3,6,2,1,2,2,7,9,5,1,3,4,2,4,0,5,1,3
low_inside,7,1,4,11,1,3,0,1,1,3,1,0,2,3,4,1,0,1,0,3,3,1,1,0,2
low_left,8,1,6,20,2,5,0,0,10,2,1,3,2,10,7,3,0,2,4,5,5,2,4,2,2
low_outside,4,0,8,14,1,7,0,4,11,4,0,2,0,7,5,2,1,0,8,1,1,0,0,1,2
low_right,10,1,10,19,3,7,1,1,4,2,2,1,1,10,9,1,1,2,1,1,2,3,0,0,1
middle_center,5,1,11,22,3,7,0,5,7,7,1,3,1,6,10,4,1,1,1,1,5,2,9,1,2
middle_inside,5,0,4,26,0,6,1,0,3,2,2,0,2,4,12,3,0,1,1,1,1,2,1,0,1
middle_left,9,0,3,29,0,9,0,8,16,2,1,3,5,11,10,2,0,1,0,3,0,3,2,2,0
middle_outside,4,0,2,17,0,7,0,8,14,5,1,0,6,4,3,1,0,1,5,0,3,1,2,0,1
middle_right,8,1,9,12,1,7,0,4,3,4,3,4,2,11,11,5,0,1,2,0,3,6,0,0,2
