actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,14,7,3,7,3,2,2,3,8,0,3,0,3,2,4,1,0,0,1,2,6,2,1,13,4
above_inside,3,4,0,1,2,0,2,1,3,0,1,3,0,1,3,0,0,0,0,0,0,0,1,3,1
above_left,11,8,1,4,3,1,1,1,6,2,3,1,10,1,5,2,0,2,3,2,4,0,6,7,1
above_outside,4,4,0,6,1,1,1,1,6,1,2,0,2,1,6,2,2,4,2,1,5,1,4,15,3
above_right,5,3,1,5,0,1,3,1,3,0,2,3,2,3,6,0,1,1,4,0,3,1,0,10,2
below_center,6,6,0,1,1,1,4,4,5,0,2,0,0,2,0,0,0,1,3,0,1,2,2,18,6
below_inside,14,7,0,3,0,2,6,2,3,1,2,2,2,2,5,5,5,3,8,0,0,7,5,24,3
below_left,1,1,0,1,1,2,0,1,4,0,2,3,1,2,3,0,0,2,2,0,0,0,2,12,1
below_outside,2,0,0,1,1,0,1,1,2,0,0,0,1,0,2,0,0,0,1,0,1,0,1,8,2
below_right,7,2,0,1,3,0,1,1,8,0,2,1,1,2,5,1,2,0,4,2,2,3,2,11,2
high_center,8,0,0,2,0,2,6,1,6,0,5,2,4,3,11,5,3,2,3,1,2,3,2,24,3
high_inside,5,4,0,3,0,2,5,0,3,0,1,0,1,1,3,1,0,1,1,0,0,3,1,8,5
high_left,8,5,1,3,2,3,5,0,6,1,6,0,5,3,6,2,3,2,4,1,3,5,7,32,3
high_outside,1,5,0,2,0,3,3,5,8,0,5,1,5,6,4,0,1,2,7,1,3,2,3,24,6
high_right,11,8,0,8,4,2,4,2,3,1,2,2,3,1,2,2,0,2,4,1,0,1,5,14,3
low_center,8,8,0,9,3,2,4,3,6,0,3,0,4,6,9,1,4,8,2,1,2,6,5,38,8
low_inside,8,5,0,5,2,4,5,2,4,1,0,0,1,0,5,1,1,1,6,1,3,2,1,17,12
low_left,5,7,0,6,0,1,8,3,7,0,2,1,3,2,13,1,1,1,3,1,3,5,3,28,8
low_outside,6,3,0,2,1,2,5,0,4,2,1,0,1,2,6,0,0,1,1,1,2,0,2,10,2
low_right,7,4,2,4,3,4,6,3,6,1,5,0,2,3,8,1,3,3,8,1,2,1,5,18,5
middle_center,10,2,1,6,3,4,5,4,9,1,1,0,5,2,7,1,3,7,8,4,0,3,9,33,11
middle_inside,5,5,1,1,2,1,3,3,5,0,6,1,3,1,2,3,1,3,3,0,0,4,8,20,2
middle_left,14,7,2,9,0,3,7,2,11,1,7,2,2,3,9,2,3,2,10,1,5,0,4,33,9
middle_outside,7,6,0,8,1,5,6,3,5,1,4,0,4,1,9,4,0,2,2,3,1,1,6,20,4
middle_right,8,7,0,3,2,2,4,1,2,0,2,0,4,0,13,4,2,1,4,1,3,4,3,31,9
