actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,7,1,4,0,4,1,0,1,2,1,3,4,1,0,3,1,1,0,0,1,1,0,2,0,2
above_inside,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
above_left,3,1,1,0,4,1,4,1,1,0,3,5,1,0,0,3,3,0,1,1,1,1,1,0,1
above_outside,4,1,6,1,4,3,0,0,0,1,1,7,1,1,4,0,6,2,1,2,0,0,0,1,1
above_right,3,2,2,0,3,0,1,1,0,1,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0
below_center,9,0,2,2,12,3,5,3,2,5,2,15,3,1,4,2,6,3,1,6,4,2,14,7,5
below_inside,15,3,1,3,15,9,18,4,0,11,6,8,6,0,2,4,18,3,0,14,7,4,2,4,16
below_left,10,2,2,0,7,1,2,3,1,5,2,2,0,1,0,1,2,4,3,3,0,0,4,1,3
below_outside,5,1,0,1,4,1,3,2,1,1,1,3,1,0,1,0,0,0,0,1,0,0,1,2,3
below_right,11,5,4,5,12,7,7,3,3,9,2,7,2,0,6,0,9,3,2,4,3,2,3,1,5
high_center,3,1,7,1,4,3,5,2,2,2,0,7,2,0,2,0,4,4,2,9,0,3,2,1,7
high_inside,9,1,0,1,5,2,0,1,1,0,0,3,0,0,1,0,2,1,1,1,0,0,0,1,1
high_left,3,2,1,2,6,2,3,3,3,1,0,2,0,1,2,1,7,3,4,2,0,1,2,2,2
high_outside,11,0,4,2,12,4,2,1,2,3,0,9,1,1,3,3,5,5,1,4,4,0,3,2,6
high_right,10,1,5,0,7,4,1,0,2,1,2,2,0,0,1,1,1,3,0,2,2,0,5,1,1
low_center,15,0,8,0,12,6,5,1,2,2,0,6,3,1,3,9,15,5,3,5,4,1,11,6,6
low_inside,16,1,1,1,6,2,2,1,0,3,1,8,1,1,3,6,10,3,4,6,8,0,1,3,8
low_left,18,1,2,5,13,5,6,3,3,4,1,7,0,2,6,2,9,8,1,3,5,2,6,5,6
low_outside,6,1,5,2,14,4,3,3,3,3,1,15,0,1,4,1,6,2,1,4,3,1,4,5,1
low_right,11,1,6,1,7,4,10,3,3,6,1,8,2,2,2,4,15,1,1,3,5,2,5,4,9
middle_center,16,1,3,2,11,6,5,3,5,4,0,11,1,0,4,5,12,6,1,10,8,0,6,5,13
middle_inside,10,1,3,3,10,1,0,0,2,0,0,11,1,0,3,2,2,1,2,2,4,0,2,3,2
middle_left,9,1,7,2,13,3,3,3,4,0,2,13,6,1,3,3,9,8,2,6,2,1,6,4,11
middle_outside,21,2,2,2,15,3,4,4,6,3,1,20,2,1,3,4,6,4,6,2,2,1,9,7,3
middle_right,12,2,3,1,12,1,2,2,0,3,1,15,1,0,2,2,9,5,2,5,1,3,4,0,7
