actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,1,0,3,1,0,0,0,1,1,0,1,2,0,2,1,0,0,0,2,1,0,1,2,0,0
above_inside,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
above_left,1,0,2,0,2,1,0,2,1,2,2,0,0,1,3,0,0,0,2,0,1,0,2,1,2
above_outside,1,0,0,2,1,2,0,0,2,1,1,3,1,1,4,0,1,0,4,2,3,0,3,1,0
above_right,0,1,1,0,0,0,1,0,0,0,1,1,0,2,0,0,0,0,1,1,1,1,3,0,0
below_center,5,0,7,5,5,7,5,4,7,5,1,15,2,9,8,8,5,4,18,4,4,5,29,2,1
below_inside,9,1,2,4,3,5,11,9,6,8,2,20,1,6,21,3,5,2,19,10,10,10,26,1,4
below_left,0,0,3,7,3,5,1,5,5,1,0,4,2,3,5,4,3,5,11,6,0,2,17,2,1
below_outside,0,1,2,1,2,0,1,2,3,1,0,5,0,1,1,2,1,3,5,0,2,2,5,0,2
below_right,6,2,10,4,3,5,4,5,4,9,2,13,5,5,17,3,10,5,18,10,7,5,23,2,6
high_center,0,0,0,0,2,3,1,3,0,0,2,3,1,1,2,1,2,0,7,0,1,1,6,1,2
high_inside,3,0,0,2,1,1,0,4,1,0,1,1,0,1,0,0,0,0,1,0,0,0,2,1,0
high_left,5,1,6,1,1,0,1,2,4,4,1,9,1,4,1,1,1,3,4,2,2,0,9,0,1
high_outside,0,0,5,1,0,2,2,2,1,3,2,5,1,3,2,4,1,3,6,2,4,1,13,0,0
high_right,1,0,1,2,4,0,1,1,0,3,2,3,0,1,1,1,1,0,2,2,2,0,7,1,0
low_center,7,1,5,2,2,6,2,9,3,5,1,18,1,1,11,3,4,4,20,7,7,3,21,2,6
low_inside,2,2,4,2,2,3,4,3,2,5,1,3,2,4,6,2,1,0,16,4,8,2,17,2,1
low_left,3,1,6,6,2,7,1,7,5,3,0,7,0,3,4,3,2,2,15,6,5,3,19,0,6
low_outside,1,0,2,4,2,4,2,5,5,4,1,6,1,4,1,6,0,2,6,1,6,2,10,0,1
low_right,4,1,5,3,3,2,2,4,3,4,4,13,3,3,10,4,1,3,7,5,10,3,11,2,5
middle_center,9,0,13,1,4,7,5,3,2,3,4,7,2,3,13,4,2,1,6,6,8,4,19,1,0
middle_inside,3,0,1,1,0,1,1,3,2,3,0,5,0,1,2,0,2,1,8,4,4,1,9,1,4
middle_left,1,0,7,5,4,1,3,5,2,3,1,10,1,3,5,5,1,3,13,2,7,2,20,0,3
middle_outside,3,2,4,3,3,1,4,4,10,1,0,9,2,3,5,3,2,3,6,1,4,1,10,2,0
middle_right,6,0,8,1,2,4,1,2,1,3,2,8,0,2,8,1,2,1,10,7,7,0,9,0,3
