actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,14,17,2,1,2,5,3,3,1,0,2,3,1,3,7,1,1,8,4,4,1,3,4,2,3
above_inside,5,5,0,0,3,1,1,1,0,0,1,2,0,0,4,1,1,3,2,2,0,1,2,2,1
above_left,13,8,4,1,1,3,1,3,4,0,3,3,4,3,6,1,3,4,2,0,2,1,0,4,2
above_outside,10,3,2,3,1,1,0,1,2,0,1,0,5,3,10,1,1,5,2,3,3,0,3,0,4
above_right,10,12,0,0,2,3,1,0,2,1,2,3,0,0,5,0,3,2,3,1,0,3,0,4,4
below_center,18,8,5,2,3,3,1,6,4,0,2,5,4,0,2,0,3,5,2,1,2,2,4,2,6
below_inside,14,16,2,2,3,4,6,5,2,0,4,4,4,5,11,2,3,6,8,0,1,5,3,2,6
below_left,14,10,1,1,0,2,0,1,0,0,4,0,1,4,2,0,2,4,1,0,1,4,1,2,1
below_outside,8,8,2,2,0,1,1,1,1,1,2,2,1,1,1,0,0,3,1,1,0,1,3,0,0
below_right,15,10,2,5,2,3,3,4,3,0,2,4,5,4,4,1,1,5,1,0,5,2,3,2,4
high_center,18,20,4,6,3,6,2,3,5,1,2,6,4,11,9,2,2,11,5,0,4,11,5,7,10
high_inside,9,9,0,1,1,2,0,1,0,0,1,3,2,2,6,1,1,1,3,1,4,2,2,1,0
high_left,20,13,5,3,1,2,4,0,2,1,6,5,6,3,7,2,5,8,4,0,0,6,3,8,6
high_outside,15,7,1,3,0,0,1,2,1,0,7,6,6,9,9,2,3,6,3,2,1,5,3,11,8
high_right,14,12,0,0,0,2,1,1,3,1,4,7,6,9,9,1,3,12,3,0,2,5,7,8,5
low_center,19,15,3,0,2,2,2,1,1,0,1,2,7,4,5,1,2,6,4,3,1,4,7,3,4
low_inside,11,10,2,2,0,2,0,1,0,1,0,3,3,3,16,1,4,3,3,0,2,3,2,1,6
low_left,11,10,1,2,0,3,0,1,1,1,3,4,5,3,3,2,2,4,2,1,2,5,5,7,3
low_outside,13,5,4,1,1,1,1,6,5,1,1,2,2,3,1,1,4,6,2,0,1,4,3,2,5
low_right,11,10,1,0,0,2,0,2,2,1,1,5,4,4,5,1,1,4,2,3,0,7,7,2,5
middle_center,18,12,3,1,1,3,1,0,2,0,4,8,7,7,14,3,1,9,3,1,5,9,6,3,7
middle_inside,6,6,0,1,1,1,1,1,0,0,2,4,3,0,7,0,2,3,3,0,0,6,1,2,7
middle_left,25,11,4,3,2,3,2,3,3,2,3,2,7,8,14,3,3,7,4,1,1,9,7,9,8
middle_outside,15,13,3,2,2,2,1,0,1,0,2,5,7,5,5,3,4,5,4,1,0,7,2,3,9
middle_right,22,7,2,0,2,0,0,1,1,0,4,3,6,5,9,4,4,7,5,1,2,8,5,10,5
