actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,2,0,4,1,2,5,7,0,36,1,2,0,4,2,6,3,4,11,4,6,3,8,0,10,4
above_inside,1,0,0,1,0,1,1,0,10,0,0,0,0,1,1,4,1,2,2,1,4,2,1,8,0
above_left,1,2,1,2,1,1,1,4,22,2,2,1,2,0,3,2,2,12,4,1,9,0,2,6,1
above_outside,2,0,0,3,0,2,0,1,16,2,3,0,2,1,0,2,0,8,2,2,0,2,1,2,0
above_right,1,4,5,3,4,2,5,1,26,1,0,2,1,0,0,3,1,13,1,4,4,0,2,14,1
below_center,8,0,3,4,1,7,8,4,37,3,1,1,2,1,4,11,0,23,12,4,4,0,4,14,1
below_inside,5,6,4,3,8,7,23,3,38,6,3,4,3,4,7,11,9,30,5,15,11,3,0,18,9
below_left,1,0,1,3,1,5,1,0,21,4,1,0,2,0,0,3,1,9,3,3,6,1,1,5,1
below_outside,1,0,0,0,0,3,0,0,5,1,2,0,1,1,0,1,1,2,2,1,1,0,0,0,0
below_right,7,4,2,7,2,8,6,4,38,7,1,2,5,2,3,2,4,27,10,8,13,2,1,19,1
high_center,3,4,2,1,4,5,2,1,34,1,3,1,2,1,1,5,4,26,3,7,4,0,1,10,2
high_inside,3,3,1,2,1,0,1,1,14,2,4,2,1,1,0,0,0,7,4,1,3,2,3,10,3
high_left,0,0,2,5,2,2,1,1,25,3,0,1,1,0,1,2,1,7,7,1,5,2,0,7,1
high_outside,3,0,0,1,0,3,0,1,13,1,0,1,3,1,0,0,1,9,1,0,3,0,2,0,0
high_right,3,3,2,1,1,5,3,0,25,1,3,1,2,0,3,5,3,14,6,3,10,4,2,11,2
low_center,3,2,2,3,5,3,2,3,23,0,7,1,2,1,1,6,3,17,8,5,5,4,4,14,3
low_inside,1,4,0,1,3,1,11,0,19,4,3,5,3,0,2,1,6,10,6,4,11,2,1,8,9
low_left,1,1,0,0,3,5,2,0,15,2,2,0,1,0,1,1,1,11,3,4,4,0,1,6,2
low_outside,1,1,1,1,1,0,0,1,11,0,0,0,0,1,0,0,0,6,1,1,2,1,0,2,1
low_right,3,3,1,3,6,6,5,0,24,2,2,4,4,3,5,3,4,26,8,6,10,5,0,15,4
middle_center,4,3,1,1,2,1,4,0,35,2,2,4,3,1,3,8,5,27,4,3,13,3,5,8,6
middle_inside,0,4,0,0,4,2,5,1,25,1,2,3,2,0,3,0,3,6,4,3,5,5,0,12,4
middle_left,0,4,3,1,2,3,5,1,30,0,0,0,2,1,2,3,1,19,6,5,6,1,1,9,1
middle_outside,0,0,2,0,0,1,2,0,9,2,0,0,0,1,0,1,0,3,3,1,1,0,1,3,0
middle_right,4,2,1,0,1,6,7,2,23,6,3,2,2,3,3,7,6,16,3,3,14,4,2,11,1
