actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,5,2,0,3,3,5,0,0,4,1,2,0,3,0,2,1,0,0,6,1,4,1,2,2,0
above_inside,0,2,0,4,2,2,0,1,0,0,1,1,2,0,0,0,0,1,1,0,6,0,0,0,0
above_left,0,1,0,0,1,2,0,0,0,0,0,0,1,0,0,3,0,2,1,0,1,0,1,0,1
above_outside,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0
above_right,2,2,0,3,4,4,1,2,0,1,1,0,0,0,0,1,0,1,4,3,0,0,1,3,0
below_center,6,15,1,20,11,15,0,6,4,2,0,6,2,0,3,12,1,8,12,3,22,2,5,6,10
below_inside,3,1,0,9,5,5,0,1,2,0,0,1,2,0,1,0,0,3,7,1,6,0,6,3,2
below_left,7,6,0,15,8,8,0,9,4,4,5,6,7,0,4,9,0,19,19,2,18,1,4,8,6
below_outside,2,2,0,7,6,8,0,5,13,1,2,5,3,0,2,9,1,19,29,6,11,1,8,7,2
below_right,5,6,0,15,5,12,1,3,1,0,2,5,3,0,4,0,0,4,8,2,13,1,6,7,3
high_center,1,1,0,4,9,8,0,3,0,2,2,3,2,0,0,4,0,10,10,4,6,0,4,3,5
high_inside,0,4,0,5,2,2,0,2,0,0,0,2,1,0,2,2,0,4,4,4,8,2,6,3,2
high_left,2,4,0,10,11,7,0,2,4,1,2,1,5,1,1,3,0,10,1,1,6,0,3,2,2
high_outside,1,1,0,6,4,5,0,1,3,0,0,1,2,0,1,1,0,3,2,1,2,0,1,1,1
high_right,2,2,0,2,4,3,0,4,0,0,2,4,5,0,0,5,1,1,5,0,12,0,1,1,4
low_center,2,2,0,5,4,7,0,3,3,2,3,4,6,0,3,6,1,18,12,2,15,1,8,5,7
low_inside,7,0,0,6,1,5,0,2,3,1,0,3,1,0,0,8,0,2,4,1,7,0,3,5,3
low_left,2,5,1,10,5,5,0,2,2,0,2,4,0,0,1,9,1,14,5,2,12,1,7,1,4
low_outside,3,4,0,6,7,4,1,0,7,1,2,4,2,0,0,11,1,15,19,7,12,2,4,3,6
low_right,2,4,0,8,7,4,0,2,1,2,0,5,2,0,2,5,2,4,11,2,17,1,4,3,2
middle_center,1,3,0,11,6,5,0,2,3,3,5,6,5,1,2,5,0,16,17,2,10,1,5,8,11
middle_inside,0,9,0,2,3,7,0,1,1,2,2,1,1,1,0,2,2,4,8,0,9,0,1,2,5
middle_left,5,7,0,10,10,9,0,4,7,1,4,4,1,0,0,10,1,10,12,3,13,1,4,4,6
middle_outside,5,2,1,8,5,11,1,0,4,0,2,5,3,0,2,7,0,5,8,2,4,1,2,2,4
middle_right,0,4,0,7,6,5,0,0,3,4,2,4,4,0,0,9,0,7,10,5,15,0,3,3,5
