actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,3,1,6,3,5,1,7,1,3,1,2,4,6,0,2,8,5,3,1,1,5,3,3,0,6
above_inside,3,1,11,3,12,4,18,3,3,0,5,4,1,0,3,4,2,5,2,3,0,6,2,0,4
above_left,1,1,4,2,6,1,5,0,0,2,2,4,1,1,1,4,5,0,0,0,0,0,4,0,0
above_outside,0,0,0,1,4,0,2,0,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
above_right,1,1,4,3,6,2,7,3,2,1,2,6,6,0,2,5,3,2,1,1,3,0,1,0,1
below_center,1,4,11,4,12,1,7,2,4,3,1,3,5,0,2,4,11,7,2,2,4,1,4,0,4
below_inside,2,2,5,0,1,1,5,0,2,0,2,5,1,1,1,2,5,1,3,1,1,2,2,0,2
below_left,2,0,6,5,12,5,2,0,3,1,4,3,1,0,1,6,6,4,6,1,1,2,3,1,2
below_outside,3,1,10,3,10,4,6,3,1,1,9,6,5,1,0,8,2,5,5,1,3,2,2,1,1
below_right,1,6,4,3,10,3,7,0,1,2,4,5,2,0,1,4,12,4,1,0,1,5,3,0,1
high_center,7,3,10,4,17,2,4,0,2,3,5,4,2,0,1,9,4,4,1,2,3,7,5,1,4
high_inside,6,2,7,2,10,0,2,3,2,1,3,5,2,0,1,5,5,6,2,1,0,0,1,0,1
high_left,4,2,7,4,6,1,3,1,1,1,2,3,2,0,5,8,9,7,0,1,3,2,3,2,4
high_outside,2,0,3,2,5,3,4,4,2,2,1,2,0,0,1,1,2,5,1,0,1,1,3,6,1
high_right,3,1,12,2,11,4,4,1,4,1,3,4,2,2,2,7,6,7,1,2,2,3,2,0,1
low_center,1,1,12,5,15,5,8,0,2,4,4,6,5,1,2,12,12,4,3,4,3,4,4,2,5
low_inside,3,3,4,2,7,5,5,1,1,1,2,4,2,0,2,3,2,2,0,1,4,3,1,1,1
low_left,3,4,3,3,9,1,10,3,3,1,4,3,5,0,4,9,3,7,4,0,2,3,3,2,2
low_outside,5,2,6,3,12,1,4,2,2,1,3,5,1,1,2,4,5,6,5,0,2,5,2,1,1
low_right,8,1,2,6,9,1,8,4,2,2,2,4,4,0,2,5,9,1,1,2,2,3,2,2,2
middle_center,4,3,17,5,22,1,9,3,2,0,1,8,5,3,2,10,4,9,3,5,3,5,4,4,9
middle_inside,4,2,6,0,11,4,7,2,1,3,3,4,3,1,5,5,5,5,2,2,2,4,3,2,6
middle_left,3,0,19,7,11,2,3,0,2,1,4,2,4,0,4,7,6,8,8,0,2,4,3,2,7
middle_outside,5,1,9,4,6,2,8,1,1,1,3,1,2,1,0,6,2,3,5,1,1,3,2,2,6
middle_right,1,2,10,3,14,2,6,2,2,2,7,8,4,1,3,9,9,3,3,3,3,3,4,3,5
